Time [µs]	D2, v0J12	D2, v0J12
	200k shots	200k shots
Laser Power [mJ]		power corrected
0	--	--
0.02	--	--
0.04	--	--
0.06	--	--
0.08	--	--
0.1	--	--
0.12	--	--
0.14	--	--
0.16	--	--
0.18	--	--
0.2	--	--
0.22	--	--
0.24	--	--
0.26	--	--
0.28	--	--
0.3	--	--
0.32	--	--
0.34	--	--
0.36	--	--
0.38	--	--
0.4	--	--
0.42	--	--
0.44	--	--
0.46	--	--
0.48	--	--
0.5	--	--
0.52	--	--
0.54	--	--
0.56	--	--
0.58	--	--
0.6	--	--
0.62	--	--
0.64	--	--
0.66	--	--
0.68	--	--
0.7	--	--
0.72	--	--
0.74	--	--
0.76	--	--
0.78	--	--
0.8	--	--
0.82	--	--
0.84	--	--
0.86	--	--
0.88	--	--
0.9	--	--
0.92	--	--
0.94	--	--
0.96	--	--
0.98	--	--
1	--	--
1.02	--	--
1.04	--	--
1.06	--	--
1.08	--	--
1.1	--	--
1.12	--	--
1.14	--	--
1.16	--	--
1.18	--	--
1.2	--	--
1.22	--	--
1.24	--	--
1.26	--	--
1.28	--	--
1.3	--	--
1.32	--	--
1.34	--	--
1.36	--	--
1.38	--	--
1.4	--	--
1.42	--	--
1.44	--	--
1.46	--	--
1.48	--	--
1.5	--	--
1.52	--	--
1.54	--	--
1.56	--	--
1.58	--	--
1.6	--	--
1.62	24	1.26937358914977E-4
1.64	-9	-4.76015095931165E-5
1.66	-39	-2.06273208236838E-4
1.68	-63	-3.33210567151815E-4
1.7	-57	-3.01476227423071E-4
1.72	-19	-1.0049207580769E-4
1.74	-56	-2.96187170801614E-4
1.76	-56	-2.96187170801614E-4
1.78	-24	-1.26937358914977E-4
1.8	17	8.99139625647756E-5
1.82	1	5.28905662145739E-6
1.84	29	1.53382642022264E-4
1.86	53	2.80320000937242E-4
1.88	37	1.95695094993923E-4
1.9	-6	-3.17343397287443E-5
1.92	-34	-1.79827925129551E-4
1.94	-29	-1.53382642022264E-4
1.96	-19	-1.0049207580769E-4
1.98	-61	-3.22632453908901E-4
2	-46	-2.4329660458704E-4
2.02	19	1.0049207580769E-4
2.04	26	1.37515472157892E-4
2.06	-26	-1.37515472157892E-4
2.08	-5	-2.64452831072869E-5
2.1	-61	-3.22632453908901E-4
2.12	-30	-1.58671698643722E-4
2.14	17	8.99139625647756E-5
2.16	36	1.90406038372466E-4
2.18	60	3.17343397287443E-4
2.2	37	1.95695094993923E-4
2.22	-31	-1.63960755265179E-4
2.24	-35	-1.85116981751009E-4
2.26	-16	-8.46249059433182E-5
2.28	5	2.64452831072869E-5
2.3	-22	-1.16359245672063E-4
2.32	-7	-3.70233963502017E-5
2.34	7	3.70233963502017E-5
2.36	11	5.81796228360313E-5
2.38	15	7.93358493218608E-5
2.4	6	3.17343397287443E-5
2.42	19	1.0049207580769E-4
2.44	28	1.48093585400807E-4
2.46	13	6.8757736078946E-5
2.48	-19	-1.0049207580769E-4
2.5	-20	-1.05781132429148E-4
2.52	-47	-2.48585661208497E-4
2.54	-23	-1.2164830229352E-4
2.56	-31	-1.63960755265179E-4
2.58	-27	-1.4280452877935E-4
2.6	-9	-4.76015095931165E-5
2.62	-12	-6.34686794574887E-5
2.64	6	3.17343397287443E-5
2.66	27	1.4280452877935E-4
2.68	5	2.64452831072869E-5
2.7	14	7.40467927004034E-5
2.72	5	2.64452831072869E-5
2.74	-20	-1.05781132429148E-4
2.76	-18	-9.5203019186233E-5
2.78	9	4.76015095931165E-5
2.8	14	7.40467927004034E-5
2.82	-15	-7.93358493218608E-5
2.84	-11	-5.81796228360313E-5
