Time [µs]	D2, v0J2, 04.12.	D2, v0J2, 04.12.
	100k shots	counts per shot
Laser Power [mJ]	scaled	power corrected
0	-23720.24	-0.426212225416287
0.02	-7049.82999999999	-0.126673411951418
0.04	-199.83	-0.00359060401601909
0.06	4.60000000000002	8.26541483945748E-5
0.08	15.05	2.70422811595292E-4
0.1	-16.68	-2.99711129395978E-4
0.12	-40.25	-7.23223798452526E-4
0.14	-3.50999999999999	-6.3068708883686E-5
0.16	30.02	5.39408159740244E-4
0.18	21.81	3.91888473149058E-4
0.2	18.47	3.31874374097346E-4
0.22	31.26	5.61688843220521E-4
0.24	-34.98	-6.2853089366135E-4
0.26	-3.86999999999998	-6.95372944102176E-5
0.28	28.05	5.04010622275611E-4
0.3	-29.35	-5.27369403343642E-4
0.32	-51.52	-9.25726462019233E-4
0.34	-43.16	-7.75511531458658E-4
0.36	7.58000000000004	1.36199661919756E-4
0.38	63.26	0.00113667422335669
0.4	24.06	4.32317132689883E-4
0.42	8.04000000000002	1.44465076759213E-4
0.44	-28.77	-5.16947793328675E-4
0.46	-57.73	-0.00103730956235191
0.48	-1.03999999999999	-1.86870248544254E-5
0.5	-22.93	-4.12012961453824E-4
0.52	-43.1	-7.74433433870903E-4
0.54	-2.91999999999999	-5.24674159374253E-5
0.56	28.95	5.20182086091941E-4
0.58	36.33	6.52788089385845E-4
0.6	47.25	8.49001850357313E-4
0.62	12.79	2.29814469123176E-4
0.64	-22.05	-3.96200863500079E-4
0.66	-82.51	-0.00148256386609485
0.68	-45.39	-8.15580825136898E-4
0.7	-43.35	-7.78925507153217E-4
0.72	-33.24	-5.97266063616446E-4
0.74	-27.93	-5.018544271001E-4
0.76	-45.07	-8.09830971335536E-4
0.78	33.7	6.05531478455904E-4
0.8	-18.01	-3.23608959257888E-4
0.82	-100.18	-0.0018000636056888
0.84	-72.8399999999999	-0.00130881047153495
0.86	-51.3199999999999	-9.22132803393381E-4
0.88	-150.35	-0.00270153287198353
0.9	-181.63	-0.00326358108106664
0.92	-122.57	-0.00220237368885282
0.94	-47.39	-8.51517411395408E-4
0.96	-93.3399999999999	-0.00167716048068469
0.98	-25.6399999999999	-4.60707035834104E-4
1	-62.6499999999999	-0.00112571356454784
1.02	-74.75	-0.00134312991141183
1.04	-171.45	-0.00308066385701082
1.06	-281.62	-0.00506023071106088
1.08	-144.06	-0.00258851230820052
1.1	-122.17	-0.00219518637160112
1.12	-39.8099999999999	-7.15317749475652E-4
1.14	-27.4199999999998	-4.92690597604178E-4
1.16	-69.5899999999999	-0.00125041351886487
1.18	-133.7	-0.00240236079138143
1.2	-103.89	-0.00186672597319833
1.22	18.64	3.34928983929319E-4
1.24	29.95	5.38150379221197E-4
1.26	48.5	8.71462216768882E-4
1.28	-45.0699999999999	-8.09830971335535E-4
1.3	-111.24	-0.00199879292769836
1.32	2.37	4.25848547163351E-5
1.34	2.22000000000003	3.98896107469473E-5
1.36	-3.79999999999995	-6.82795138911693E-5
1.38	-42.1199999999999	-7.56824506604232E-4
1.4	-104.94	-0.00188559268098405
1.42	-28.78	-5.17127476259967E-4
1.44	-9.76999999999998	-1.75550223872824E-4
1.46	-29.46	-5.29345915587861E-4
1.48	4.79000000000002	8.60681240891332E-5
1.5	-28.54	-5.12815085908946E-4
1.52	-37.58	-6.75248455797414E-4
1.54	-56.12	-0.00100838061041381
1.56	2.09000000000003	3.75537326401441E-5
1.58	65.63	0.00117925907807303
1.6	4.93000000000001	8.85836851272288E-5
1.62	8.65000000000001	1.55425735568058E-4
1.64	1.71000000000001	3.07257812510267E-5
1.66	26.22	4.71128645849074E-4
1.68	-16.01	-2.87672372999377E-4
1.7	1.26000000000002	2.2640049342862E-5
1.72	3.60000000000002	6.46858552653195E-5
1.74	25.43	4.56933694276962E-4
1.76	-27.2	-4.88737573115744E-4
1.78	-7.31	-1.31348222774856E-4
1.8	14.52	2.60899616236787E-4
1.82	-17.29	-3.10671788204824E-4
1.84	4.58000000000001	8.22947825319895E-5
1.86	19.07	3.42655349974899E-4
1.88	-15.71	-2.822818850606E-4
1.9	17.26	3.10132739410947E-4
1.92	-5.26999999999998	-9.46929047911751E-5
1.94	4.71000000000001	8.46306606387926E-5
1.96	-16.58	-2.97914300083053E-4
1.98	-16.35	-2.93781592663324E-4
2	-9.89999999999998	-1.77886101979627E-4
2.02	-36.41	-6.54225552836185E-4
2.04	-35.73	-6.42007113508292E-4
2.06	20.86	3.74818594676266E-4
2.08	51.09	9.18000095973653E-4
2.1	-0.5	-8.98414656462765E-6
2.12	-20.54	-3.69068740874904E-4
2.14	-37.43	-6.72553211828025E-4
2.16	-37.54	-6.74529724072244E-4
2.18	-9.47999999999999	-1.7033941886534E-4
2.2	-36.05	-6.47756967309653E-4
2.22	-9.5	-1.70698784727925E-4
2.24	26.86	4.82628353451798E-4
2.26	34.11	6.12898478638899E-4
2.28	13.07	2.34845591199367E-4
2.3	-21.97	-3.94763400049739E-4
2.32	-4.78	-8.58884411578403E-5
2.34	-11.78	-2.11666493062627E-4
2.36	16.28	2.92523812144276E-4
2.38	-7.25	-1.30270125187101E-4
2.4	-27.31	-4.90714085359962E-4
2.42	9.26000000000002	1.66386394376904E-4
2.44	-2.06	-3.7014683846266E-5
2.46	-42.48	-7.63293092130765E-4
2.48	16.77	3.01328275777612E-4
2.5	25.68	4.61425767559276E-4
2.52	-16.42	-2.95039373182372E-4
2.54	-15.91	-2.85875543686452E-4
2.56	11.94	2.14541419963308E-4
2.58	-11.89	-2.13643005306845E-4
2.6	-3.92999999999998	-7.06153919979729E-5
2.62	5.13	9.21773437530796E-5
2.64	14.7	2.64133909000053E-4
2.66	10.49	1.88487394925888E-4
2.68	18.77	3.37264862036122E-4
2.7	46	8.26541483945744E-4
2.72	0.320000000000007	5.74985380136183E-6
2.74	-0.889999999999986	-1.5991780885037E-5
2.76	-21.27	-3.8218559485926E-4
2.78	-3.84999999999999	-6.91779285476328E-5
2.8	27.85	5.0041696364976E-4
2.82	8.53	1.53269540392548E-4
2.84	23.89	4.29262522857909E-4
2.86	-11.85	-2.12924273581675E-4
2.88	-18.89	-3.39421057211632E-4
2.9	10.19	1.83096906987112E-4
2.92	11.98	2.15260151688479E-4
2.94	-12.91	-2.31970664298686E-4
2.96	0	0
2.98	19.87	3.57029984478303E-4
3	-2.83	-5.08502695557925E-5
3.02	15.13	2.71860275045633E-4
3.04	-0.019999999999996	-3.59365862585034E-7
3.06	9.36000000000001	1.6818322368983E-4
3.08	24.57	4.41480962185803E-4
3.1	-26.87	-4.8280803638309E-4
3.12	-5.03999999999999	-9.05601973714466E-5
3.14	14.38	2.58384055198691E-4
3.16	9.68000000000001	1.73933077491191E-4
3.18	32.85	5.90258429296037E-4
3.2	20.51	3.68529692081026E-4
3.22	-7.87	-1.41410466927239E-4
3.24	-14.66	-2.63415177274883E-4
3.26	9.34	1.67823857827245E-4
3.28	20.02	3.59725228447691E-4
3.3	0.490000000000009	8.80446363333526E-6
3.32	12	2.15619517551064E-4
3.34	32.06	5.76063477723925E-4
3.36	1.15000000000001	2.06635370986437E-5
3.38	38.4	6.89982456163404E-4
3.4	-11.34	-2.03760444085755E-4
3.42	-2.67999999999999	-4.81550255864041E-5
3.44	47.21	8.48283118632143E-4
3.46	11.77	2.11486810131335E-4
3.48	16.83	3.02406373365367E-4
3.5	-20.36	-3.65834448111638E-4
3.52	16.19	2.90906665762644E-4
3.54	-12.38	-2.22447468940181E-4
3.56	25.32	4.54957182032744E-4
3.58	40.7	7.31309530360691E-4
3.6	51.57	9.26624876675696E-4
3.62	18.85	3.38702325486463E-4
3.64	2.28	4.09677083347021E-5
3.66	0.810000000000002	1.45543174346968E-5
3.68	-8	-1.43746345034042E-4
3.7	-15.68	-2.81742836266723E-4
3.72	23.17	4.16325351804845E-4
3.74	14.32	2.57305957610936E-4
3.76	13.66	2.45446884145628E-4
3.78	-11.53	-2.07174419780313E-4
3.8	5.68000000000001	1.0205990497417E-4
3.82	20.19	3.62779838279665E-4
3.84	-2.39999999999998	-4.31239035102123E-5
3.86	-8.52999999999999	-1.53269540392547E-4
3.88	18.72	3.36366447379659E-4
3.9	46.44	8.34447532922616E-4
3.92	58.04	0.00104287973322198
3.94	7.34	1.31887271568734E-4
3.96	8.79000000000002	1.57941296606154E-4
3.98	13.64	2.45087518283043E-4
4	7.81	1.40332369339484E-4
4.02	-5.22999999999999	-9.3974173066005E-5
4.04	10.81	1.9423724872725E-4
4.06	5.49000000000001	9.86459292796118E-5
4.08	8.49000000000001	1.52550808667378E-4
4.1	20.96	3.76615423989191E-4
4.12	50.36	9.04883241989297E-4
4.14	56.66	0.00101808348870361
4.16	48.19	8.65892045898813E-4
4.18	39.23	7.04896139460686E-4
4.2	23.51	4.22434571468792E-4
4.22	-6.06	-1.08887856363287E-4
4.24	12.11	2.17596029795282E-4
4.26	7.96000000000001	1.43027613308872E-4
4.28	-2.22999999999999	-4.00692936782391E-5
4.3	-27.61	-4.96104573298738E-4
4.32	15.47	2.7796949470958E-4
4.34	-18.38	-3.30257227715712E-4
4.36	-7.83	-1.40691735202069E-4
4.38	-12.23	-2.19752224970792E-4
4.4	37.98	6.82435773049116E-4
4.42	34.85	6.26195015554547E-4
4.44	-6.09999999999999	-1.09606588088457E-4
4.46	-4.88999999999999	-8.78649534020582E-5
4.48	10.28	1.84714053368745E-4
4.5	7.96000000000001	1.43027613308872E-4
4.52	25.64	4.60707035834106E-4
4.54	21.66	3.8919322917967E-4
4.56	-24.12	-4.33395230277638E-4
4.58	-11.7	-2.10229029612287E-4
4.6	-16.95	-3.04562568540877E-4
4.62	-26.93	-4.83886133970845E-4
4.64	31.02	5.573764528695E-4
4.66	0.960000000000008	1.72495614040852E-5
4.68	3.62	6.50452211279043E-5
4.7	11.49	2.06455688055144E-4
4.72	29.34	5.27189720412351E-4
4.74	0.730000000000018	1.31168539843567E-5
4.76	15.6	2.80305372816383E-4
4.78	-16.74	-3.00789226983733E-4
4.8	0.580000000000013	1.04216100149683E-5
4.82	-15.14	-2.72039957976925E-4
4.84	-4.09999999999999	-7.36700018299466E-5
4.86	-18.97	-3.40858520661973E-4
4.88	-8.60999999999999	-1.54707003842888E-4
4.9	26.13	4.69511499467441E-4
4.92	50.11	9.00391168706983E-4
