Time [µs]	v1J2	v1J2	
	75k shots	75k shots	
Laser Power [mJ]		power corrected	
0	--	--
0.02	--	--
0.04	--	--
0.06	--	--
0.08	--	--
0.1	--	--
0.12	--	--
0.14	--	--
0.16	--	--
0.18	--	--
0.2	--	--
0.22	--	--
0.24	--	--
0.26	--	--
0.28	--	--
0.3	--	--
0.32	--	--
0.34	--	--
0.36	--	--
0.38	--	--
0.4	--	--
0.42	--	--
0.44	--	--
0.46	--	--
0.48	--	--
0.5	--	--
0.52	--	--
0.54	--	--
0.56	--	--
0.58	--	--
0.6	--	--
0.62	--	--
0.64	--	--
0.66	--	--
0.68	--	--
0.7	--	--
0.72	--	--
0.74	--	--
0.76	--	--
0.78	--	--
0.8	--	--
0.82	--	--
0.84	--	--
0.86	--	--
0.88	--	--
0.9	--	--
0.92	--	--
0.94	--	--
0.96	--	--
0.98	--	--
1	--	--
1.02	--	--
1.04	--	--
1.06	--	--
1.08	--	--
1.1	--	--
1.12	--	--
1.14	--	--
1.16	--	--
1.18	--	--
1.2	--	--
1.22	--	--
1.24	--	--
1.26	--	--
1.28	--	--
1.3	--	--
1.32	--	--
1.34	--	--
1.36	--	--
1.38	--	--
1.4	--	--
1.42	--	--
1.44	--	--
1.46	--	--
1.48	--	--
1.5	--	--
1.52	--	--
1.54	--	--
1.56	--	--
1.58	--	--
1.6	--	--
1.62	0	0
1.64	18	2.90348898768937E-4
1.66	23	3.71001370649198E-4
1.68	25	4.03262359401302E-4
1.7	28	4.51653842529458E-4
1.72	15	2.41957415640781E-4
1.74	14	2.25826921264729E-4
1.76	5	8.06524718802603E-5
1.78	23	3.71001370649198E-4
1.8	43	6.93611258170239E-4
1.82	13	2.09696426888677E-4
1.84	16	2.58087910016833E-4
1.86	32	5.16175820033666E-4
1.88	36	5.80697797537875E-4
1.9	32	5.16175820033666E-4
1.92	16	2.58087910016833E-4
1.94	25	4.03262359401302E-4
1.96	42	6.77480763794187E-4
1.98	23	3.71001370649198E-4
2	28	4.51653842529458E-4
2.02	33	5.32306314409718E-4
2.04	31	5.00045325657614E-4
2.06	15	2.41957415640781E-4
2.08	-6	-9.67829662563124E-5
2.1	0	0
2.12	-1	-1.61304943760521E-5
2.14	13	2.09696426888677E-4
2.16	13	2.09696426888677E-4
2.18	8	1.29043955008417E-4
2.2	-4	-6.45219775042083E-5
2.22	16	2.58087910016833E-4
2.24	9	1.45174449384469E-4
2.26	10	1.61304943760521E-4
2.28	15	2.41957415640781E-4
2.3	21	3.38740381897093E-4
2.32	21	3.38740381897093E-4
2.34	34	5.4843680878577E-4
2.36	25	4.03262359401302E-4
2.38	28	4.51653842529458E-4
2.4	31	5.00045325657614E-4
2.42	31	5.00045325657614E-4
2.44	13	2.09696426888677E-4
2.46	3	4.83914831281562E-5
2.48	7	1.12913460632364E-4
2.5	0	0
2.52	-4	-6.45219775042083E-5
2.54	11	1.77435438136573E-4
2.56	13	2.09696426888677E-4
2.58	18	2.90348898768937E-4
2.6	28	4.51653842529458E-4
2.62	20	3.22609887521041E-4
2.64	23	3.71001370649198E-4
2.66	10	1.61304943760521E-4
2.68	29	4.6778433690551E-4
2.7	5	8.06524718802603E-5
2.72	19	3.06479393144989E-4
2.74	15	2.41957415640781E-4
2.76	15	2.41957415640781E-4
2.78	21	3.38740381897093E-4
2.8	5	8.06524718802603E-5
2.82	6	9.67829662563124E-5
2.84	8	1.29043955008417E-4
2.86	-2	-3.22609887521041E-5
2.88	0	0
2.9	-6	-9.67829662563124E-5
2.92	19	3.06479393144989E-4
2.94	22	3.54870876273145E-4
2.96	13	2.09696426888677E-4
2.98	10	1.61304943760521E-4
3	0	0
3.02	3	4.83914831281562E-5
3.04	4	6.45219775042083E-5
3.06	22	3.54870876273145E-4
3.08	17	2.74218404392885E-4
3.1	7	1.12913460632364E-4
