Time [µs]	D2 v2J2	D2 v2J2	
	150k shots	150k shots	
Laser Power [mJ]		power corrected	
0	-1108	-0.0298541863385951
0.02	-2199	-0.0592503210817424
0.04	-61	-0.00164359690131254
0.06	6	1.61665268981562E-4
0.08	33	8.8915897939859E-4
0.1	-11	-2.96386326466197E-4
0.12	11	2.96386326466197E-4
0.14	6	1.61665268981562E-4
0.16	8	2.15553691975416E-4
0.18	6	1.61665268981562E-4
0.2	-2	-5.38884229938539E-5
0.22	-13	-3.5027474946005E-4
0.24	-2	-5.38884229938539E-5
0.26	20	5.38884229938539E-4
0.28	11	2.96386326466197E-4
0.3	-2	-5.38884229938539E-5
0.32	15	4.04163172453904E-4
0.34	25	6.73605287423174E-4
0.36	0	0
0.38	-11	-2.96386326466197E-4
0.4	-9	-2.42497903472343E-4
0.42	6	1.61665268981562E-4
0.44	13	3.5027474946005E-4
0.46	-12	-3.23330537963124E-4
0.48	-3	-8.08326344907809E-5
0.5	9	2.42497903472343E-4
0.52	-32	-8.62214767901663E-4
0.54	-1	-2.6944211496927E-5
0.56	-12	-3.23330537963124E-4
0.58	-6	-1.61665268981562E-4
0.6	4	1.07776845987708E-4
0.62	17	4.58051595447758E-4
0.64	14	3.77218960956977E-4
0.66	-4	-1.07776845987708E-4
0.68	-2	-5.38884229938539E-5
0.7	-7	-1.88609480478489E-4
0.72	-10	-2.6944211496927E-4
0.74	23	6.1971686442932E-4
0.76	-7	-1.88609480478489E-4
0.78	-44	-0.00118554530586479
0.8	-12	-3.23330537963124E-4
0.82	1	2.6944211496927E-5
0.84	-31	-8.35270556404736E-4
0.86	0	0
0.88	16	4.31107383950831E-4
0.9	30	8.08326344907809E-4
0.92	-57	-0.00153582005532484
0.94	-48	-0.00129332215185249
0.96	-56	-0.00150887584382791
0.98	9	2.42497903472343E-4
1	21	5.65828441435466E-4
1.02	19	5.11940018441612E-4
1.04	18	4.84995806944685E-4
1.06	27	7.27493710417028E-4
1.08	79	0.00212859270825723
1.1	73	0.00196692743927567
1.12	37	9.96935825386298E-4
1.14	-9	-2.42497903472343E-4
1.16	-75	-0.00202081586226952
1.18	-44	-0.00118554530586479
1.2	7	1.88609480478489E-4
1.22	15	4.04163172453904E-4
1.24	-22	-5.92772652932393E-4
1.26	-10	-2.6944211496927E-4
1.28	13	3.5027474946005E-4
1.3	6	1.61665268981562E-4
1.32	-29	-7.81382133410882E-4
1.34	-43	-0.00115860109436786
1.36	-15	-4.04163172453904E-4
1.38	-2	-5.38884229938539E-5
1.4	-12	-3.23330537963124E-4
1.42	10	2.6944211496927E-4
1.44	32	8.62214767901663E-4
1.46	32	8.62214767901663E-4
1.48	1	2.6944211496927E-5
1.5	-12	-3.23330537963124E-4
1.52	8	2.15553691975416E-4
1.54	2	5.38884229938539E-5
1.56	-10	-2.6944211496927E-4
1.58	15	4.04163172453904E-4
1.6	37	9.96935825386298E-4
1.62	14	3.77218960956977E-4
1.64	-15	-4.04163172453904E-4
1.66	-6	-1.61665268981562E-4
1.68	5	1.34721057484635E-4
1.7	-6	-1.61665268981562E-4
1.72	-16	-4.31107383950831E-4
1.74	-6	-1.61665268981562E-4
1.76	-2	-5.38884229938539E-5
1.78	-14	-3.77218960956977E-4
1.8	-12	-3.23330537963124E-4
1.82	16	4.31107383950831E-4
1.84	18	4.84995806944685E-4
1.86	2	5.38884229938539E-5
1.88	14	3.77218960956977E-4
1.9	12	3.23330537963124E-4
1.92	-4	-1.07776845987708E-4
1.94	-3	-8.08326344907809E-5
1.96	1	2.6944211496927E-5
1.98	2	5.38884229938539E-5
2	9	2.42497903472343E-4
2.02	-1	-2.6944211496927E-5
2.04	7	1.88609480478489E-4
2.06	2	5.38884229938539E-5
2.08	9	2.42497903472343E-4
2.1	-7	-1.88609480478489E-4
2.12	13	3.5027474946005E-4
2.14	11	2.96386326466197E-4
2.16	-3	-8.08326344907809E-5
2.18	-7	-1.88609480478489E-4
2.2	-6	-1.61665268981562E-4
2.22	-13	-3.5027474946005E-4
2.24	-5	-1.34721057484635E-4
2.26	-5	-1.34721057484635E-4
2.28	-1	-2.6944211496927E-5
2.3	1	2.6944211496927E-5
2.32	-1	-2.6944211496927E-5
2.34	1	2.6944211496927E-5
2.36	19	5.11940018441612E-4
2.38	5	1.34721057484635E-4
2.4	-4	-1.07776845987708E-4
2.42	-5	-1.34721057484635E-4
2.44	1	2.6944211496927E-5
2.46	5	1.34721057484635E-4
2.48	5	1.34721057484635E-4
2.5	9	2.42497903472343E-4
2.52	8	2.15553691975416E-4
2.54	-10	-2.6944211496927E-4
2.56	-6	-1.61665268981562E-4
2.58	-6	-1.61665268981562E-4
2.6	0	0
2.62	8	2.15553691975416E-4
2.64	-2	-5.38884229938539E-5
2.66	6	1.61665268981562E-4
2.68	9	2.42497903472343E-4
2.7	-1	-2.6944211496927E-5
2.72	21	5.65828441435466E-4
2.74	10	2.6944211496927E-4
2.76	-6	-1.61665268981562E-4
2.78	-7	-1.88609480478489E-4
2.8	5	1.34721057484635E-4
2.82	9	2.42497903472343E-4
2.84	2	5.38884229938539E-5
2.86	5	1.34721057484635E-4
2.88	3	8.08326344907809E-5
2.9	-4	-1.07776845987708E-4
2.92	-5	-1.34721057484635E-4
2.94	-1	-2.6944211496927E-5
2.96	8	2.15553691975416E-4
2.98	2	5.38884229938539E-5
3	2	5.38884229938539E-5
3.02	4	1.07776845987708E-4
3.04	4	1.07776845987708E-4
3.06	-2	-5.38884229938539E-5
3.08	-5	-1.34721057484635E-4
3.1	-8	-2.15553691975416E-4
3.12	6	1.61665268981562E-4
3.14	2	5.38884229938539E-5
3.16	7	1.88609480478489E-4
3.18	8	2.15553691975416E-4
3.2	1	2.6944211496927E-5
3.22	4	1.07776845987708E-4
3.24	4	1.07776845987708E-4
3.26	1	2.6944211496927E-5
3.28	5	1.34721057484635E-4
3.3	-7	-1.88609480478489E-4
3.32	-5	-1.34721057484635E-4
3.34	11	2.96386326466197E-4
3.36	2	5.38884229938539E-5
3.38	5	1.34721057484635E-4
3.4	15	4.04163172453904E-4
3.42	15	4.04163172453904E-4
3.44	-13	-3.5027474946005E-4
3.46	-6	-1.61665268981562E-4
3.48	-5	-1.34721057484635E-4
3.5	0	0
3.52	-14	-3.77218960956977E-4
3.54	0	0
3.56	-6	-1.61665268981562E-4
3.58	-5	-1.34721057484635E-4
3.6	3	8.08326344907809E-5
3.62	5	1.34721057484635E-4
3.64	-3	-8.08326344907809E-5
3.66	3	8.08326344907809E-5
3.68	2	5.38884229938539E-5
3.7	-1	-2.6944211496927E-5
3.72	5	1.34721057484635E-4
3.74	15	4.04163172453904E-4
3.76	5	1.34721057484635E-4
3.78	-2	-5.38884229938539E-5
3.8	13	3.5027474946005E-4
3.82	15	4.04163172453904E-4
3.84	5	1.34721057484635E-4
3.86	7	1.88609480478489E-4
3.88	9	2.42497903472343E-4
3.9	3	8.08326344907809E-5
3.92	6	1.61665268981562E-4
3.94	7	1.88609480478489E-4
3.96	6	1.61665268981562E-4
3.98	-3	-8.08326344907809E-5
4	-12	-3.23330537963124E-4
4.02	-5	-1.34721057484635E-4
4.04	8	2.15553691975416E-4
4.06	1	2.6944211496927E-5
4.08	-1	-2.6944211496927E-5
4.1	-4	-1.07776845987708E-4
4.12	-2	-5.38884229938539E-5
4.14	-1	-2.6944211496927E-5
4.16	-4	-1.07776845987708E-4
4.18	1	2.6944211496927E-5
4.2	-4	-1.07776845987708E-4
4.22	3	8.08326344907809E-5
4.24	10	2.6944211496927E-4
4.26	5	1.34721057484635E-4
4.28	-6	-1.61665268981562E-4
4.3	-7	-1.88609480478489E-4
4.32	5	1.34721057484635E-4
4.34	7	1.88609480478489E-4
4.36	5	1.34721057484635E-4
4.38	-10	-2.6944211496927E-4
4.4	1	2.6944211496927E-5
4.42	0	0
4.44	1	2.6944211496927E-5
4.46	9	2.42497903472343E-4
4.48	1	2.6944211496927E-5
4.5	-3	-8.08326344907809E-5
4.52	1	2.6944211496927E-5
4.54	4	1.07776845987708E-4
4.56	3	8.08326344907809E-5
4.58	-2	-5.38884229938539E-5
4.6	-4	-1.07776845987708E-4
4.62	0	0
4.64	9	2.42497903472343E-4
4.66	8	2.15553691975416E-4
4.68	5	1.34721057484635E-4
4.7	-1	-2.6944211496927E-5
4.72	3	8.08326344907809E-5
4.74	5	1.34721057484635E-4
4.76	3	8.08326344907809E-5
4.78	8	2.15553691975416E-4
4.8	4	1.07776845987708E-4
4.82	11	2.96386326466197E-4
4.84	0	0
4.86	13	3.5027474946005E-4
4.88	16	4.31107383950831E-4
4.9	12	3.23330537963124E-4
4.92	7	1.88609480478489E-4
4.94	17	4.58051595447758E-4
4.96	10	2.6944211496927E-4
4.98	2	5.38884229938539E-5
5	-1	-2.6944211496927E-5
5.02	-8	-2.15553691975416E-4
5.04	-6	-1.61665268981562E-4
5.06	2	5.38884229938539E-5
5.08	5	1.34721057484635E-4
5.1	3	8.08326344907809E-5
5.12	19	5.11940018441612E-4
5.14	8	2.15553691975416E-4
5.16	-16	-4.31107383950831E-4
5.18	-1	-2.6944211496927E-5
5.2	-4	-1.07776845987708E-4
5.22	-3	-8.08326344907809E-5
5.24	-7	-1.88609480478489E-4
5.26	1	2.6944211496927E-5
5.28	-1	-2.6944211496927E-5
5.3	2	5.38884229938539E-5
5.32	13	3.5027474946005E-4
5.34	-1	-2.6944211496927E-5
5.36	1	2.6944211496927E-5
5.38	4	1.07776845987708E-4
5.4	7	1.88609480478489E-4
5.42	5	1.34721057484635E-4
5.44	14	3.77218960956977E-4
5.46	-8	-2.15553691975416E-4
5.48	-11	-2.96386326466197E-4
5.5	-13	-3.5027474946005E-4
5.52	-14	-3.77218960956977E-4
5.54	-6	-1.61665268981562E-4
5.56	0	0
5.58	10	2.6944211496927E-4
5.6	7	1.88609480478489E-4
5.62	2	5.38884229938539E-5
5.64	-3	-8.08326344907809E-5
5.66	2	5.38884229938539E-5
5.68	10	2.6944211496927E-4
5.7	2	5.38884229938539E-5
5.72	-8	-2.15553691975416E-4
5.74	-9	-2.42497903472343E-4
5.76	16	4.31107383950831E-4
5.78	4	1.07776845987708E-4
5.8	-7	-1.88609480478489E-4
5.82	-12	-3.23330537963124E-4
5.84	-23	-6.1971686442932E-4
5.86	-25	-6.73605287423174E-4
5.88	0	0
5.9	-17	-4.58051595447758E-4
5.92	8	2.15553691975416E-4
5.94	13	3.5027474946005E-4
5.96	-1	-2.6944211496927E-5
5.98	-4	-1.07776845987708E-4
6	-11	-2.96386326466197E-4
6.02	-15	-4.04163172453904E-4
6.04	3	8.08326344907809E-5
6.06	2	5.38884229938539E-5
6.08	3	8.08326344907809E-5
6.1	-2	-5.38884229938539E-5
6.12	5	1.34721057484635E-4
6.14	-6	-1.61665268981562E-4
6.16	-6	-1.61665268981562E-4
6.18	2	5.38884229938539E-5
6.2	-4	-1.07776845987708E-4
6.22	-14	-3.77218960956977E-4
6.24	-3	-8.08326344907809E-5
6.26	3	8.08326344907809E-5
6.28	2	5.38884229938539E-5
6.3	2	5.38884229938539E-5
6.32	4	1.07776845987708E-4
6.34	-4	-1.07776845987708E-4
6.36	-12	-3.23330537963124E-4
6.38	-15	-4.04163172453904E-4
6.4	-10	-2.6944211496927E-4
6.42	1	2.6944211496927E-5
6.44	3	8.08326344907809E-5
6.46	-5	-1.34721057484635E-4
6.48	-4	-1.07776845987708E-4
6.5	17	4.58051595447758E-4
6.52	12	3.23330537963124E-4
6.54	13	3.5027474946005E-4
6.56	11	2.96386326466197E-4
6.58	-7	-1.88609480478489E-4
6.6	-9	-2.42497903472343E-4
6.62	-19	-5.11940018441612E-4
6.64	-13	-3.5027474946005E-4
6.66	-8	-2.15553691975416E-4
6.68	-2	-5.38884229938539E-5
6.7	19	5.11940018441612E-4
6.72	18	4.84995806944685E-4
6.74	6	1.61665268981562E-4
6.76	3	8.08326344907809E-5
6.78	-2	-5.38884229938539E-5
6.8	1	2.6944211496927E-5
6.82	-13	-3.5027474946005E-4
6.84	-14	-3.77218960956977E-4
6.86	-24	-6.46661075926247E-4
6.88	-18	-4.84995806944685E-4
6.9	-19	-5.11940018441612E-4
6.92	-6	-1.61665268981562E-4
6.94	9	2.42497903472343E-4
6.96	3	8.08326344907809E-5
6.98	-12	-3.23330537963124E-4
7	-16	-4.31107383950831E-4
7.02	16	4.31107383950831E-4
7.04	21	5.65828441435466E-4
7.06	-3	-8.08326344907809E-5
7.08	6	1.61665268981562E-4
7.1	17	4.58051595447758E-4
7.12	18	4.84995806944685E-4
7.14	3	8.08326344907809E-5
7.16	15	4.04163172453904E-4
7.18	12	3.23330537963124E-4
7.2	8	2.15553691975416E-4
7.22	9	2.42497903472343E-4
7.24	-6	-1.61665268981562E-4
7.26	-21	-5.65828441435466E-4
7.28	-14	-3.77218960956977E-4
7.3	-22	-5.92772652932393E-4
7.32	-7	-1.88609480478489E-4
7.34	0	0
7.36	-5	-1.34721057484635E-4
7.38	-12	-3.23330537963124E-4
7.4	5	1.34721057484635E-4
7.42	14	3.77218960956977E-4
7.44	4	1.07776845987708E-4
7.46	21	5.65828441435466E-4
7.48	24	6.46661075926247E-4
7.5	0	0
7.52	3	8.08326344907809E-5
7.54	1	2.6944211496927E-5
7.56	-7	-1.88609480478489E-4
7.58	-7	-1.88609480478489E-4
7.6	9	2.42497903472343E-4
7.62	10	2.6944211496927E-4
7.64	32	8.62214767901663E-4
7.66	7	1.88609480478489E-4
7.68	9	2.42497903472343E-4
7.7	3	8.08326344907809E-5
7.72	-3	-8.08326344907809E-5
7.74	13	3.5027474946005E-4
7.76	14	3.77218960956977E-4
7.78	20	5.38884229938539E-4
7.8	18	4.84995806944685E-4
