Time [µs]	v0J7	v0J7
	50k shots	50k shots
Laser Power [mJ]		power corrected
0	--	--
0.02	--	--
0.04	--	--
0.06	--	--
0.08	--	--
0.1	--	--
0.12	--	--
0.14	--	--
0.16	--	--
0.18	--	--
0.2	--	--
0.22	--	--
0.24	--	--
0.26	--	--
0.28	--	--
0.3	--	--
0.32	--	--
0.34	--	--
0.36	--	--
0.38	--	--
0.4	--	--
0.42	--	--
0.44	--	--
0.46	--	--
0.48	--	--
0.5	--	--
0.52	--	--
0.54	--	--
0.56	--	--
0.58	--	--
0.6	--	--
0.62	--	--
0.64	--	--
0.66	--	--
0.68	--	--
0.7	--	--
0.72	--	--
0.74	--	--
0.76	--	--
0.78	--	--
0.8	--	--
0.82	--	--
0.84	--	--
0.86	--	--
0.88	--	--
0.9	--	--
0.92	--	--
0.94	--	--
0.96	--	--
0.98	--	--
1	--	--
1.02	--	--
1.04	--	--
1.06	--	--
1.08	--	--
1.1	--	--
1.12	--	--
1.14	--	--
1.16	--	--
1.18	--	--
1.2	--	--
1.22	--	--
1.24	--	--
1.26	--	--
1.28	--	--
1.3	--	--
1.32	--	--
1.34	--	--
1.36	--	--
1.38	--	--
1.4	--	--
1.42	--	--
1.44	--	--
1.46	--	--
1.48	--	--
1.5	--	--
1.52	--	--
1.54	--	--
1.56	--	--
1.58	--	--
1.6	--	--
1.62	5	1.57502753600148E-4
1.64	7	2.20503855040208E-4
1.66	-3	-9.4501652160089E-5
1.68	-6	-1.89003304320178E-4
1.7	1	3.15005507200297E-5
1.72	1	3.15005507200297E-5
1.74	0	0
1.76	6	1.89003304320178E-4
1.78	8	2.52004405760237E-4
1.8	4	1.26002202880119E-4
1.82	2	6.30011014400594E-5
1.84	2	6.30011014400594E-5
1.86	12	3.78006608640356E-4
1.88	12	3.78006608640356E-4
1.9	6	1.89003304320178E-4
1.92	-2	-6.30011014400594E-5
1.94	4	1.26002202880119E-4
1.96	10	3.15005507200297E-4
1.98	17	5.35509362240505E-4
2	11	3.46506057920326E-4
2.02	-8	-2.52004405760237E-4
2.04	-4	-1.26002202880119E-4
2.06	-16	-5.04008811520475E-4
2.08	-15	-4.72508260800445E-4
2.1	3	9.4501652160089E-5
2.12	17	5.35509362240505E-4
2.14	15	4.72508260800445E-4
2.16	11	3.46506057920326E-4
2.18	-10	-3.15005507200297E-4
2.2	10	3.15005507200297E-4
2.22	15	4.72508260800445E-4
2.24	5	1.57502753600148E-4
2.26	-2	-6.30011014400594E-5
2.28	2	6.30011014400594E-5
2.3	1	3.15005507200297E-5
2.32	-17	-5.35509362240505E-4
2.34	-3	-9.4501652160089E-5
2.36	-1	-3.15005507200297E-5
2.38	-1	-3.15005507200297E-5
2.4	1	3.15005507200297E-5
2.42	-2	-6.30011014400594E-5
2.44	9	2.83504956480267E-4
2.46	2	6.30011014400594E-5
2.48	-14	-4.41007710080415E-4
2.5	-3	-9.4501652160089E-5
2.52	8	2.52004405760237E-4
2.54	1	3.15005507200297E-5
2.56	-7	-2.20503855040208E-4
2.58	-4	-1.26002202880119E-4
2.6	2	6.30011014400594E-5
2.62	3	9.4501652160089E-5
2.64	-7	-2.20503855040208E-4
2.66	-3	-9.4501652160089E-5
2.68	-5	-1.57502753600148E-4
2.7	0	0
2.72	-3	-9.4501652160089E-5
2.74	-1	-3.15005507200297E-5
2.76	12	3.78006608640356E-4
2.78	5	1.57502753600148E-4
2.8	-6	-1.89003304320178E-4
2.82	-3	-9.4501652160089E-5
2.84	-1	-3.15005507200297E-5
2.86	-1	-3.15005507200297E-5
2.88	5	1.57502753600148E-4
2.9	2	6.30011014400594E-5
2.92	4	1.26002202880119E-4
2.94	0	0
2.96	1	3.15005507200297E-5
2.98	2	6.30011014400594E-5
3	13	4.09507159360386E-4
3.02	5	1.57502753600148E-4
3.04	8	2.52004405760237E-4
3.06	8	2.52004405760237E-4
3.08	-10	-3.15005507200297E-4
3.1	-12	-3.78006608640356E-4
3.12	-5	-1.57502753600148E-4
3.14	-3	-9.4501652160089E-5
3.16	-2	-6.30011014400594E-5
