Time [µs]	H2 v1J3	H2 v1J3
	50k shots	50k shots
Laser Power [mJ]		power corrected
0	--	--
0.02	--	--
0.04	--	--
0.06	--	--
0.08	--	--
0.1	--	--
0.12	--	--
0.14	--	--
0.16	--	--
0.18	--	--
0.2	--	--
0.22	--	--
0.24	--	--
0.26	--	--
0.28	--	--
0.3	--	--
0.32	--	--
0.34	--	--
0.36	--	--
0.38	--	--
0.4	--	--
0.42	--	--
0.44	--	--
0.46	--	--
0.48	--	--
0.5	--	--
0.52	--	--
0.54	--	--
0.56	--	--
0.58	--	--
0.6	--	--
0.62	--	--
0.64	--	--
0.66	--	--
0.68	--	--
0.7	--	--
0.72	--	--
0.74	--	--
0.76	--	--
0.78	--	--
0.8	--	--
0.82	--	--
0.84	--	--
0.86	--	--
0.88	--	--
0.9	--	--
0.92	--	--
0.94	--	--
0.96	--	--
0.98	--	--
1	--	--
1.02	--	--
1.04	--	--
1.06	--	--
1.08	--	--
1.1	--	--
1.12	--	--
1.14	--	--
1.16	--	--
1.18	--	--
1.2	--	--
1.22	--	--
1.24	--	--
1.26	--	--
1.28	--	--
1.3	--	--
1.32	--	--
1.34	--	--
1.36	--	--
1.38	--	--
1.4	--	--
1.42	--	--
1.44	--	--
1.46	--	--
1.48	--	--
1.5	--	--
1.52	--	--
1.54	--	--
1.56	--	--
1.58	--	--
1.6	--	--
1.62	-4	-3.43473365183263E-4
1.64	1	8.58683412958157E-5
1.66	0	0
1.68	-2	-1.71736682591631E-4
1.7	-2	-1.71736682591631E-4
1.72	11	9.44551754253973E-4
1.74	7	6.0107838907071E-4
1.76	6	5.15210047774894E-4
1.78	-2	-1.71736682591631E-4
1.8	-6	-5.15210047774894E-4
1.82	2	1.71736682591631E-4
1.84	4	3.43473365183263E-4
1.86	1	8.58683412958157E-5
1.88	0	0
1.9	4	3.43473365183263E-4
1.92	7	6.0107838907071E-4
1.94	-2	-1.71736682591631E-4
1.96	1	8.58683412958157E-5
1.98	-4	-3.43473365183263E-4
2	-4	-3.43473365183263E-4
2.02	-6	-5.15210047774894E-4
2.04	-9	-7.72815071662341E-4
2.06	5	4.29341706479079E-4
2.08	1	8.58683412958157E-5
2.1	4	3.43473365183263E-4
2.12	4	3.43473365183263E-4
2.14	-1	-8.58683412958157E-5
2.16	-3	-2.57605023887447E-4
2.18	-2	-1.71736682591631E-4
2.2	-3	-2.57605023887447E-4
2.22	6	5.15210047774894E-4
2.24	8	6.86946730366526E-4
2.26	3	2.57605023887447E-4
2.28	-5	-4.29341706479079E-4
2.3	0	0
2.32	-4	-3.43473365183263E-4
2.34	1	8.58683412958157E-5
2.36	-5	-4.29341706479079E-4
2.38	-5	-4.29341706479079E-4
2.4	7	6.0107838907071E-4
2.42	13	0.0011162884368456
2.44	6	5.15210047774894E-4
2.46	2	1.71736682591631E-4
2.48	8	6.86946730366526E-4
2.5	2	1.71736682591631E-4
2.52	1	8.58683412958157E-5
2.54	9	7.72815071662341E-4
2.56	9	7.72815071662341E-4
2.58	10	8.58683412958157E-4
2.6	3	2.57605023887447E-4
2.62	0	0
2.64	-1	-8.58683412958157E-5
2.66	2	1.71736682591631E-4
2.68	-2	-1.71736682591631E-4
2.7	4	3.43473365183263E-4
2.72	2	1.71736682591631E-4
2.74	1	8.58683412958157E-5
2.76	4	3.43473365183263E-4
2.78	3	2.57605023887447E-4
2.8	2	1.71736682591631E-4
2.82	2	1.71736682591631E-4
2.84	-1	-8.58683412958157E-5
2.86	3	2.57605023887447E-4
2.88	3	2.57605023887447E-4
2.9	-2	-1.71736682591631E-4
2.92	1	8.58683412958157E-5
2.94	-1	-8.58683412958157E-5
2.96	-2	-1.71736682591631E-4
2.98	-1	-8.58683412958157E-5
3	-4	-3.43473365183263E-4
3.02	-4	-3.43473365183263E-4
3.04	-3	-2.57605023887447E-4
3.06	-7	-6.0107838907071E-4
3.08	-3	-2.57605023887447E-4
3.1	-2	-1.71736682591631E-4
3.12	-2	-1.71736682591631E-4
3.14	1	8.58683412958157E-5
3.16	-2	-1.71736682591631E-4
3.18	3	2.57605023887447E-4
