Time [µs]	H2 v1J7	H2 v1J7	
	100k shots	100k shots	
Laser Power [mJ]		power corrected	
0	--	--
0.02	--	--
0.04	--	--
0.06	--	--
0.08	--	--
0.1	--	--
0.12	--	--
0.14	--	--
0.16	--	--
0.18	--	--
0.2	--	--
0.22	--	--
0.24	--	--
0.26	--	--
0.28	--	--
0.3	--	--
0.32	--	--
0.34	--	--
0.36	--	--
0.38	--	--
0.4	--	--
0.42	--	--
0.44	--	--
0.46	--	--
0.48	--	--
0.5	--	--
0.52	--	--
0.54	--	--
0.56	--	--
0.58	--	--
0.6	--	--
0.62	--	--
0.64	--	--
0.66	--	--
0.68	--	--
0.7	--	--
0.72	--	--
0.74	--	--
0.76	--	--
0.78	--	--
0.8	--	--
0.82	--	--
0.84	--	--
0.86	--	--
0.88	--	--
0.9	--	--
0.92	--	--
0.94	--	--
0.96	--	--
0.98	--	--
1	--	--
1.02	--	--
1.04	--	--
1.06	--	--
1.08	--	--
1.1	--	--
1.12	--	--
1.14	--	--
1.16	--	--
1.18	--	--
1.2	--	--
1.22	--	--
1.24	--	--
1.26	--	--
1.28	--	--
1.3	--	--
1.32	--	--
1.34	--	--
1.36	--	--
1.38	--	--
1.4	--	--
1.42	--	--
1.44	--	--
1.46	--	--
1.48	--	--
1.5	--	--
1.52	--	--
1.54	--	--
1.56	--	--
1.58	--	--
1.6	--	--
1.62	1	4.09880916677494E-5
1.64	7	2.86916641674246E-4
1.66	11	4.50869008345244E-4
1.68	11	4.50869008345244E-4
1.7	10	4.09880916677494E-4
1.72	7	2.86916641674246E-4
1.74	-5	-2.04940458338747E-4
1.76	-14	-5.73833283348492E-4
1.78	-4	-1.63952366670998E-4
1.8	-2	-8.19761833354989E-5
1.82	1	4.09880916677494E-5
1.84	-14	-5.73833283348492E-4
1.86	-8	-3.27904733341996E-4
1.88	0	0
1.9	0	0
1.92	9	3.68892825009745E-4
1.94	5	2.04940458338747E-4
1.96	-4	-1.63952366670998E-4
1.98	2	8.19761833354989E-5
2	9	3.68892825009745E-4
2.02	-9	-3.68892825009745E-4
2.04	-7	-2.86916641674246E-4
2.06	6	2.45928550006497E-4
2.08	1	4.09880916677494E-5
2.1	11	4.50869008345244E-4
2.12	3	1.22964275003248E-4
2.14	11	4.50869008345244E-4
2.16	6	2.45928550006497E-4
2.18	-9	-3.68892825009745E-4
2.2	-20	-8.19761833354989E-4
2.22	-12	-4.91857100012993E-4
2.24	0	0
2.26	13	5.32845191680743E-4
2.28	10	4.09880916677494E-4
2.3	12	4.91857100012993E-4
2.32	-3	-1.22964275003248E-4
2.34	-5	-2.04940458338747E-4
2.36	-9	-3.68892825009745E-4
2.38	4	1.63952366670998E-4
2.4	0	0
2.42	-1	-4.09880916677494E-5
2.44	-2	-8.19761833354989E-5
2.46	0	0
2.48	1	4.09880916677494E-5
2.5	-2	-8.19761833354989E-5
2.52	-4	-1.63952366670998E-4
2.54	2	8.19761833354989E-5
2.56	3	1.22964275003248E-4
2.58	0	0
2.6	-3	-1.22964275003248E-4
2.62	1	4.09880916677494E-5
2.64	-3	-1.22964275003248E-4
2.66	-3	-1.22964275003248E-4
2.68	-1	-4.09880916677494E-5
2.7	-2	-8.19761833354989E-5
2.72	-1	-4.09880916677494E-5
2.74	7	2.86916641674246E-4
2.76	2	8.19761833354989E-5
2.78	6	2.45928550006497E-4
2.8	12	4.91857100012993E-4
2.82	3	1.22964275003248E-4
2.84	-3	-1.22964275003248E-4
2.86	7	2.86916641674246E-4
2.88	-1	-4.09880916677494E-5
2.9	1	4.09880916677494E-5
2.92	3	1.22964275003248E-4
2.94	-3	-1.22964275003248E-4
2.96	-1	-4.09880916677494E-5
2.98	3	1.22964275003248E-4
3	-4	-1.63952366670998E-4
3.02	-8	-3.27904733341996E-4
3.04	-1	-4.09880916677494E-5
