Time [µs]	D2, v0J5, 04.12.	D2, v0J5, 04.12.
	150k shots	counts per shot
Laser Power [mJ]		power corrected
0	--	--
0.02	--	--
0.04	--	--
0.06	--	--
0.08	--	--
0.1	--	--
0.12	--	--
0.14	--	--
0.16	--	--
0.18	--	--
0.2	--	--
0.22	--	--
0.24	--	--
0.26	--	--
0.28	--	--
0.3	--	--
0.32	--	--
0.34	--	--
0.36	--	--
0.38	--	--
0.4	--	--
0.42	--	--
0.44	--	--
0.46	--	--
0.48	--	--
0.5	--	--
0.52	--	--
0.54	--	--
0.56	--	--
0.58	--	--
0.6	--	--
0.62	--	--
0.64	--	--
0.66	--	--
0.68	--	--
0.7	--	--
0.72	--	--
0.74	--	--
0.76	--	--
0.78	--	--
0.8	--	--
0.82	--	--
0.84	--	--
0.86	--	--
0.88	--	--
0.9	--	--
0.92	--	--
0.94	--	--
0.96	--	--
0.98	--	--
1	--	--
1.02	--	--
1.04	--	--
1.06	--	--
1.08	--	--
1.1	--	--
1.12	--	--
1.14	--	--
1.16	--	--
1.18	--	--
1.2	--	--
1.22	--	--
1.24	--	--
1.26	--	--
1.28	--	--
1.3	--	--
1.32	--	--
1.34	--	--
1.36	--	--
1.38	--	--
1.4	--	--
1.42	--	--
1.44	--	--
1.46	--	--
1.48	--	--
1.5	--	--
1.52	--	--
1.54	--	--
1.56	--	--
1.58	--	--
1.6	--	--
1.62	-6	-5.85464853303471E-5
1.64	-8	-7.80619804404628E-5
1.66	-16	-1.56123960880926E-4
1.68	-26	-2.53701436431504E-4
1.7	20	1.95154951101157E-4
1.72	18	1.75639455991041E-4
1.74	-22	-2.14670446211273E-4
1.76	32	3.12247921761851E-4
1.78	17	1.65881708435984E-4
1.8	19	1.85397203546099E-4
1.82	11	1.07335223105636E-4
1.84	-2	-1.95154951101157E-5
1.86	21	2.04912698656215E-4
1.88	-40	-3.90309902202314E-4
1.9	-28	-2.7321693154162E-4
1.92	19	1.85397203546099E-4
1.94	27	2.63459183986562E-4
1.96	0	0
1.98	-5	-4.87887377752893E-5
2	-6	-5.85464853303471E-5
2.02	16	1.56123960880926E-4
2.04	7	6.8304232885405E-5
2.06	-10	-9.75774755505786E-5
2.08	-14	-1.3660846577081E-4
2.1	-1	-9.75774755505785E-6
2.12	-24	-2.34185941321389E-4
2.14	3	2.92732426651736E-5
2.16	16	1.56123960880926E-4
2.18	16	1.56123960880926E-4
2.2	37	3.61036659537141E-4
2.22	-6	-5.85464853303471E-5
2.24	20	1.95154951101157E-4
2.26	-1	-9.75774755505785E-6
2.28	29	2.82974679096678E-4
2.3	13	1.26850718215752E-4
2.32	27	2.63459183986562E-4
