Time [µs]	D2, v0J6	D2, v0J6
	100k shots	counts per shot
Laser Power [mJ]		power corrected
0	--	--
0.02	--	--
0.04	--	--
0.06	--	--
0.08	--	--
0.1	--	--
0.12	--	--
0.14	--	--
0.16	--	--
0.18	--	--
0.2	--	--
0.22	--	--
0.24	--	--
0.26	--	--
0.28	--	--
0.3	--	--
0.32	--	--
0.34	--	--
0.36	--	--
0.38	--	--
0.4	--	--
0.42	--	--
0.44	--	--
0.46	--	--
0.48	--	--
0.5	--	--
0.52	--	--
0.54	--	--
0.56	--	--
0.58	--	--
0.6	--	--
0.62	--	--
0.64	--	--
0.66	--	--
0.68	--	--
0.7	--	--
0.72	--	--
0.74	--	--
0.76	--	--
0.78	--	--
0.8	--	--
0.82	--	--
0.84	--	--
0.86	--	--
0.88	--	--
0.9	--	--
0.92	--	--
0.94	--	--
0.96	--	--
0.98	--	--
1	--	--
1.02	--	--
1.04	--	--
1.06	--	--
1.08	--	--
1.1	--	--
1.12	--	--
1.14	--	--
1.16	--	--
1.18	--	--
1.2	--	--
1.22	--	--
1.24	--	--
1.26	--	--
1.28	--	--
1.3	--	--
1.32	--	--
1.34	--	--
1.36	--	--
1.38	--	--
1.4	--	--
1.42	--	--
1.44	--	--
1.46	--	--
1.48	--	--
1.5	--	--
1.52	--	--
1.54	--	--
1.56	--	--
1.58	--	--
1.6	--	--
1.62	2	2.85394132968189E-5
1.64	-10	-1.42697066484094E-4
1.66	-21	-2.99663839616598E-4
1.68	-12	-1.71236479780913E-4
1.7	-8	-1.14157653187276E-4
1.72	22	3.13933546265008E-4
1.74	30	4.28091199452283E-4
1.76	7	9.98879465388661E-5
1.78	2	2.85394132968189E-5
1.8	28	3.99551786155464E-4
1.82	39	5.56518559287968E-4
1.84	24	3.42472959561827E-4
1.86	24	3.42472959561827E-4
1.88	23	3.28203252913417E-4
1.9	25	3.56742666210236E-4
1.92	35	4.9943973269433E-4
1.94	8	1.14157653187276E-4
1.96	36	5.1370943934274E-4
1.98	15	2.14045599726142E-4
2	31	4.42360906100693E-4
2.02	16	2.28315306374551E-4
2.04	46	6.56406505826834E-4
2.06	35	4.9943973269433E-4
2.08	-18	-2.5685471967137E-4
2.1	-6	-8.56182398904566E-5
2.12	1	1.42697066484094E-5
2.14	22	3.13933546265008E-4
2.16	30	4.28091199452283E-4
2.18	27	3.85282079507055E-4
2.2	13	1.85506186429323E-4
2.22	24	3.42472959561827E-4
2.24	11	1.56966773132504E-4
2.26	-3	-4.28091199452283E-5
2.28	23	3.28203252913417E-4
2.3	16	2.28315306374551E-4
2.32	3	4.28091199452283E-5
2.34	-6	-8.56182398904566E-5
2.36	6	8.56182398904566E-5
2.38	5	7.13485332420472E-5
2.4	22	3.13933546265008E-4
2.42	18	2.5685471967137E-4
2.44	-6	-8.56182398904566E-5
2.46	3	4.28091199452283E-5
2.48	12	1.71236479780913E-4
2.5	9	1.28427359835685E-4
2.52	15	2.14045599726142E-4
2.54	-18	-2.5685471967137E-4
2.56	-21	-2.99663839616598E-4
2.58	-9	-1.28427359835685E-4
2.6	-21	-2.99663839616598E-4
2.62	-31	-4.42360906100693E-4
2.64	-16	-2.28315306374551E-4
2.66	5	7.13485332420472E-5
2.68	25	3.56742666210236E-4
2.7	20	2.85394132968189E-4
2.72	-17	-2.4258501302296E-4
2.74	13	1.85506186429323E-4
2.76	-13	-1.85506186429323E-4
2.78	12	1.71236479780913E-4
2.8	27	3.85282079507055E-4
2.82	6	8.56182398904566E-5
2.84	-4	-5.70788265936378E-5
2.86	-4	-5.70788265936378E-5
2.88	9	1.28427359835685E-4
2.9	3	4.28091199452283E-5
2.92	-13	-1.85506186429323E-4
2.94	-4	-5.70788265936378E-5
2.96	-3	-4.28091199452283E-5
2.98	4	5.70788265936378E-5
3	12	1.71236479780913E-4
3.02	14	1.99775893077732E-4
3.04	0	0
3.06	-10	-1.42697066484094E-4
3.08	10	1.42697066484094E-4
3.1	5	7.13485332420472E-5
3.12	-9	-1.28427359835685E-4
3.14	11	1.56966773132504E-4
3.16	20	2.85394132968189E-4
3.18	14	1.99775893077732E-4
3.2	0	0
3.22	5	7.13485332420472E-5
3.24	8	1.14157653187276E-4
3.26	21	2.99663839616598E-4
3.28	1	1.42697066484094E-5
3.3	-6	-8.56182398904566E-5
3.32	7	9.98879465388661E-5
3.34	4	5.70788265936378E-5
3.36	-3	-4.28091199452283E-5
3.38	12	1.71236479780913E-4
3.4	12	1.71236479780913E-4
3.42	11	1.56966773132504E-4
3.44	19	2.71124426319779E-4
3.46	7	9.98879465388661E-5
3.48	3	4.28091199452283E-5
3.5	-1	-1.42697066484094E-5
3.52	2	2.85394132968189E-5
3.54	7	9.98879465388661E-5
3.56	10	1.42697066484094E-4
3.58	29	4.13821492803874E-4
3.6	21	2.99663839616598E-4
3.62	-2	-2.85394132968189E-5
3.64	-3	-4.28091199452283E-5
3.66	-8	-1.14157653187276E-4
3.68	-5	-7.13485332420472E-5
3.7	-4	-5.70788265936378E-5
3.72	-25	-3.56742666210236E-4
3.74	-6	-8.56182398904566E-5
3.76	22	3.13933546265008E-4
3.78	20	2.85394132968189E-4
3.8	28	3.99551786155464E-4
3.82	6	8.56182398904566E-5
3.84	16	2.28315306374551E-4
3.86	16	2.28315306374551E-4
3.88	7	9.98879465388661E-5
3.9	9	1.28427359835685E-4
3.92	-3	-4.28091199452283E-5
3.94	25	3.56742666210236E-4
3.96	24	3.42472959561827E-4
3.98	24	3.42472959561827E-4
4	10	1.42697066484094E-4
4.02	33	4.70900319397511E-4
4.04	-2	-2.85394132968189E-5
4.06	-7	-9.98879465388661E-5
4.08	-1	-1.42697066484094E-5
4.1	-19	-2.71124426319779E-4
4.12	-5	-7.13485332420472E-5
4.14	29	4.13821492803874E-4
4.16	11	1.56966773132504E-4
4.18	6	8.56182398904566E-5
4.2	5	7.13485332420472E-5
4.22	6	8.56182398904566E-5
4.24	-3	-4.28091199452283E-5
4.26	4	5.70788265936378E-5
4.28	14	1.99775893077732E-4
4.3	0	0
4.32	5	7.13485332420472E-5
4.34	17	2.4258501302296E-4
4.36	9	1.28427359835685E-4
4.38	35	4.9943973269433E-4
4.4	26	3.71012372858645E-4
4.42	24	3.42472959561827E-4
4.44	10	1.42697066484094E-4
4.46	2	2.85394132968189E-5
4.48	10	1.42697066484094E-4
4.5	-4	-5.70788265936378E-5
4.52	-23	-3.28203252913417E-4
4.54	-24	-3.42472959561827E-4
4.56	11	1.56966773132504E-4
4.58	32	4.56630612749102E-4
4.6	17	2.4258501302296E-4
4.62	1	1.42697066484094E-5
4.64	5	7.13485332420472E-5
4.66	32	4.56630612749102E-4
4.68	14	1.99775893077732E-4
4.7	7	9.98879465388661E-5
4.72	3	4.28091199452283E-5
4.74	-17	-2.4258501302296E-4
4.76	10	1.42697066484094E-4
4.78	-13	-1.85506186429323E-4
4.8	24	3.42472959561827E-4
4.82	22	3.13933546265008E-4
4.84	18	2.5685471967137E-4
4.86	32	4.56630612749102E-4
4.88	23	3.28203252913417E-4
4.9	-7	-9.98879465388661E-5
4.92	-15	-2.14045599726142E-4
4.94	-11	-1.56966773132504E-4
4.96	5	7.13485332420472E-5
4.98	30	4.28091199452283E-4
5	6	8.56182398904566E-5
5.02	21	2.99663839616598E-4
5.04	5	7.13485332420472E-5
5.06	3	4.28091199452283E-5
5.08	-4	-5.70788265936378E-5
5.1	-25	-3.56742666210236E-4
5.12	-8	-1.14157653187276E-4
5.14	-9	-1.28427359835685E-4
5.16	-4	-5.70788265936378E-5
5.18	23	3.28203252913417E-4
5.2	36	5.1370943934274E-4
5.22	2	2.85394132968189E-5
5.24	-1	-1.42697066484094E-5
5.26	0	0
5.28	28	3.99551786155464E-4
5.3	-4	-5.70788265936378E-5
5.32	-2	-2.85394132968189E-5
5.34	10	1.42697066484094E-4
5.36	22	3.13933546265008E-4
5.38	0	0
5.4	-3	-4.28091199452283E-5
5.42	7	9.98879465388661E-5
5.44	-3	-4.28091199452283E-5
5.46	23	3.28203252913417E-4
5.48	37	5.27979145991149E-4
5.5	24	3.42472959561827E-4
5.52	12	1.71236479780913E-4
5.54	40	5.70788265936378E-4
5.56	36	5.1370943934274E-4
5.58	27	3.85282079507055E-4
5.6	17	2.4258501302296E-4
5.62	16	2.28315306374551E-4
5.64	-5	-7.13485332420472E-5
5.66	-24	-3.42472959561827E-4
5.68	17	2.4258501302296E-4
5.7	56	7.99103572310929E-4
5.72	13	1.85506186429323E-4
5.74	-4	-5.70788265936378E-5
5.76	7	9.98879465388661E-5
5.78	14	1.99775893077732E-4
5.8	4	5.70788265936378E-5
5.82	14	1.99775893077732E-4
5.84	13	1.85506186429323E-4
5.86	30	4.28091199452283E-4
5.88	10	1.42697066484094E-4
5.9	0	0
5.92	2	2.85394132968189E-5
5.94	32	4.56630612749102E-4
5.96	20	2.85394132968189E-4
5.98	6	8.56182398904566E-5
6	-10	-1.42697066484094E-4
6.02	-19	-2.71124426319779E-4
6.04	7	9.98879465388661E-5
6.06	-15	-2.14045599726142E-4
6.08	-22	-3.13933546265008E-4
6.1	-9	-1.28427359835685E-4
6.12	15	2.14045599726142E-4
6.14	3	4.28091199452283E-5
6.16	14	1.99775893077732E-4
6.18	25	3.56742666210236E-4
6.2	-14	-1.99775893077732E-4
6.22	-30	-4.28091199452283E-4
6.24	5	7.13485332420472E-5
6.26	8	1.14157653187276E-4
6.28	8	1.14157653187276E-4
6.3	-1	-1.42697066484094E-5
6.32	24	3.42472959561827E-4
6.34	-5	-7.13485332420472E-5
6.36	-47	-6.70676212475244E-4
6.38	-38	-5.42248852639559E-4
6.4	15	2.14045599726142E-4
6.42	21	2.99663839616598E-4
6.44	-5	-7.13485332420472E-5
6.46	21	2.99663839616598E-4
6.48	27	3.85282079507055E-4
6.5	3	4.28091199452283E-5
6.52	2	2.85394132968189E-5
6.54	49	6.99215625772063E-4
6.56	18	2.5685471967137E-4
6.58	25	3.56742666210236E-4
6.6	46	6.56406505826834E-4
6.62	31	4.42360906100693E-4
6.64	-13	-1.85506186429323E-4
6.66	32	4.56630612749102E-4
6.68	29	4.13821492803874E-4
6.7	0	0
6.72	-16	-2.28315306374551E-4
6.74	-6	-8.56182398904566E-5
6.76	-3	-4.28091199452283E-5
6.78	-31	-4.42360906100693E-4
6.8	-7	-9.98879465388661E-5
6.82	27	3.85282079507055E-4
6.84	23	3.28203252913417E-4
6.86	10	1.42697066484094E-4
6.88	24	3.42472959561827E-4
6.9	2	2.85394132968189E-5
6.92	18	2.5685471967137E-4
6.94	8	1.14157653187276E-4
6.96	18	2.5685471967137E-4
6.98	25	3.56742666210236E-4
7	10	1.42697066484094E-4
7.02	-20	-2.85394132968189E-4
7.04	-7	-9.98879465388661E-5
7.06	-4	-5.70788265936378E-5
7.08	31	4.42360906100693E-4
7.1	28	3.99551786155464E-4
7.12	7	9.98879465388661E-5
7.14	30	4.28091199452283E-4
7.16	43	6.13597385881606E-4
7.18	26	3.71012372858645E-4
7.2	-34	-4.85170026045921E-4
7.22	-14	-1.99775893077732E-4
7.24	0	0
7.26	-1	-1.42697066484094E-5
7.28	4	5.70788265936378E-5
7.3	52	7.42024745717291E-4
7.32	-1	-1.42697066484094E-5
7.34	13	1.85506186429323E-4
7.36	23	3.28203252913417E-4
7.38	9	1.28427359835685E-4
7.4	31	4.42360906100693E-4
7.42	-8	-1.14157653187276E-4
7.44	-38	-5.42248852639559E-4
7.46	-23	-3.28203252913417E-4
7.48	-11	-1.56966773132504E-4
7.5	-17	-2.4258501302296E-4
7.52	-11	-1.56966773132504E-4
7.54	2	2.85394132968189E-5
7.56	8	1.14157653187276E-4
7.58	35	4.9943973269433E-4
7.6	35	4.9943973269433E-4
7.62	4	5.70788265936378E-5
7.64	1	1.42697066484094E-5
7.66	15	2.14045599726142E-4
7.68	23	3.28203252913417E-4
7.7	7	9.98879465388661E-5
7.72	-37	-5.27979145991149E-4
7.74	-5	-7.13485332420472E-5
7.76	10	1.42697066484094E-4
7.78	15	2.14045599726142E-4
7.8	8	1.14157653187276E-4
7.82	8	1.14157653187276E-4
7.84	12	1.71236479780913E-4
7.86	-8	-1.14157653187276E-4
7.88	3	4.28091199452283E-5
7.9	23	3.28203252913417E-4
7.92	31	4.42360906100693E-4
7.94	46	6.56406505826834E-4
7.96	10	1.42697066484094E-4
7.98	-4	-5.70788265936378E-5
8	-5	-7.13485332420472E-5
8.02	7	9.98879465388661E-5
8.04	6	8.56182398904566E-5
8.06	6	8.56182398904566E-5
8.08	40	5.70788265936378E-4
8.1	30	4.28091199452283E-4
8.12	52	7.42024745717291E-4
8.14	29	4.13821492803874E-4
8.16	58	8.27642985607748E-4
8.18	39	5.56518559287968E-4
8.2	25	3.56742666210236E-4
8.22	35	4.9943973269433E-4
8.24	10	1.42697066484094E-4
8.26	34	4.85170026045921E-4
8.28	38	5.42248852639559E-4
8.3	38	5.42248852639559E-4
8.32	54	7.7056415901411E-4
8.34	58	8.27642985607748E-4
8.36	44	6.27867092530015E-4
8.38	57	8.13373278959338E-4
8.4	105	0.00149831919808299
8.42	127	0.001812252744348
8.44	89	0.00127000389170844
8.46	82	0.00117011594516957
8.48	129	0.00184079215764482
8.5	141	0.00201202863742573
8.52	176	0.00251146837012006
8.54	165	0.00235450159698756
8.56	144	0.00205483775737096
8.58	141	0.00201202863742573
8.6	137	0.00195494981083209
8.62	161	0.00229742277039392
8.64	140	0.00199775893077732
8.66	177	0.00252573807676847
8.68	184	0.00262562602330734
8.7	179	0.00255427749006529
8.72	175	0.00249719866347165
8.74	179	0.00255427749006529
8.76	203	0.00289675044962712
8.78	177	0.00252573807676847
8.8	186	0.00265416543660416
8.82	217	0.00309652634270485
8.84	180	0.0025685471967137
8.86	159	0.0022688833570971
8.88	201	0.0028682110363303
8.9	182	0.00259708661001052
8.92	193	0.00275405338314302
8.94	165	0.00235450159698756
8.96	151	0.00215472570390983
8.98	171	0.00244011983687801
9	157	0.00224034394380028
9.02	130	0.00185506186429323
9.04	172	0.00245438954352642
9.06	201	0.0028682110363303
9.08	153	0.00218326511720664
9.1	141	0.00201202863742573
9.12	194	0.00276832308979143
9.14	155	0.00221180453050346
9.16	153	0.00218326511720664
9.18	153	0.00218326511720664
9.2	137	0.00195494981083209
9.22	140	0.00199775893077732
9.24	163	0.00232596218369074
9.26	157	0.00224034394380028
9.28	166	0.00236877130363597
9.3	133	0.00189787098423846
9.32	149	0.00212618629061301
9.34	140	0.00199775893077732
9.36	153	0.00218326511720664
9.38	146	0.00208337717066778
9.4	148	0.0021119165839646
9.42	92	0.00131281301165367
9.44	86	0.00122719477176321
9.46	105	0.00149831919808299
9.48	102	0.00145551007813776
9.5	91	0.00129854330500526
9.52	111	0.00158393743797345
9.54	121	0.00172663450445754
9.56	95	0.0013556221315989
9.58	61	8.70452105552976E-4
9.6	113	0.00161247685127027
9.62	118	0.00168382538451231
9.64	90	0.00128427359835685
9.66	90	0.00128427359835685
9.68	94	0.00134135242495049
9.7	57	8.13373278959338E-4
9.72	98	0.00139843125154413
9.74	78	0.00111303711857594
9.76	82	0.00117011594516957
9.78	91	0.00129854330500526
9.8	83	0.00118438565181798
9.82	49	6.99215625772063E-4
9.84	74	0.0010559582919823
9.86	67	9.56070345443432E-4
9.88	41	5.85057972584787E-4
9.9	34	4.85170026045921E-4
9.92	30	4.28091199452283E-4
9.94	69	9.84609758740251E-4
9.96	76	0.00108449770527912
9.98	42	5.99327679233196E-4
10	58	8.27642985607748E-4
10.02	18	2.5685471967137E-4
10.04	39	5.56518559287968E-4
10.06	28	3.99551786155464E-4
10.08	47	6.70676212475244E-4
