Time [µs]	D2, v1J2	D2, v1J2, FIrst
	25k shots	counts per shot
Laser Power [mJ]		power corrected
0	--	--
0.02	--	--
0.04	--	--
0.06	--	--
0.08	--	--
0.1	--	--
0.12	--	--
0.14	--	--
0.16	--	--
0.18	--	--
0.2	--	--
0.22	--	--
0.24	--	--
0.26	--	--
0.28	--	--
0.3	--	--
0.32	--	--
0.34	--	--
0.36	--	--
0.38	--	--
0.4	--	--
0.42	--	--
0.44	--	--
0.46	--	--
0.48	--	--
0.5	--	--
0.52	--	--
0.54	--	--
0.56	--	--
0.58	--	--
0.6	--	--
0.62	--	--
0.64	--	--
0.66	--	--
0.68	--	--
0.7	--	--
0.72	--	--
0.74	--	--
0.76	--	--
0.78	--	--
0.8	--	--
0.82	--	--
0.84	--	--
0.86	--	--
0.88	--	--
0.9	--	--
0.92	--	--
0.94	--	--
0.96	--	--
0.98	--	--
1	--	--
1.02	--	--
1.04	--	--
1.06	--	--
1.08	--	--
1.1	--	--
1.12	--	--
1.14	--	--
1.16	--	--
1.18	--	--
1.2	--	--
1.22	--	--
1.24	--	--
1.26	--	--
1.28	--	--
1.3	--	--
1.32	--	--
1.34	--	--
1.36	--	--
1.38	--	--
1.4	--	--
1.42	--	--
1.44	--	--
1.46	--	--
1.48	--	--
1.5	--	--
1.52	--	--
1.54	--	--
1.56	--	--
1.58	--	--
1.6	--	--
1.62	-9	-2.68969812440003E-4
1.64	1	2.98855347155559E-5
1.66	8	2.39084277724447E-4
1.68	19	5.67825159595562E-4
1.7	-2	-5.97710694311118E-5
1.72	-12	-3.58626416586671E-4
1.74	-2	-5.97710694311118E-5
1.76	-2	-5.97710694311118E-5
1.78	8	2.39084277724447E-4
1.8	6	1.79313208293335E-4
1.82	-1	-2.98855347155559E-5
1.84	-7	-2.09198743008891E-4
1.86	-9	-2.68969812440003E-4
1.88	4	1.19542138862224E-4
1.9	7	2.09198743008891E-4
1.92	-9	-2.68969812440003E-4
1.94	-5	-1.49427673577779E-4
1.96	5	1.49427673577779E-4
1.98	-1	-2.98855347155559E-5
2	7	2.09198743008891E-4
2.02	8	2.39084277724447E-4
2.04	-22	-6.5748176374223E-4
2.06	12	3.58626416586671E-4
2.08	14	4.18397486017782E-4
2.1	7	2.09198743008891E-4
2.12	-1	-2.98855347155559E-5
2.14	-12	-3.58626416586671E-4
2.16	0	0
2.18	3	8.96566041466677E-5
2.2	-6	-1.79313208293335E-4
2.22	-8	-2.39084277724447E-4
2.24	2	5.97710694311118E-5
2.26	18	5.37939624880006E-4
2.28	3	8.96566041466677E-5
2.3	-3	-8.96566041466677E-5
2.32	-2	-5.97710694311118E-5
2.34	4	1.19542138862224E-4
2.36	3	8.96566041466677E-5
2.38	-16	-4.78168555448894E-4
2.4	-12	-3.58626416586671E-4
2.42	6	1.79313208293335E-4
2.44	6	1.79313208293335E-4
2.46	-8	-2.39084277724447E-4
2.48	-16	-4.78168555448894E-4
2.5	1	2.98855347155559E-5
2.52	5	1.49427673577779E-4
2.54	-4	-1.19542138862224E-4
2.56	-1	-2.98855347155559E-5
2.58	-1	-2.98855347155559E-5
2.6	6	1.79313208293335E-4
2.62	12	3.58626416586671E-4
2.64	0	0
2.66	-2	-5.97710694311118E-5
2.68	13	3.88511951302227E-4
2.7	16	4.78168555448894E-4
2.72	3	8.96566041466677E-5
2.74	-8	-2.39084277724447E-4
2.76	-3	-8.96566041466677E-5
2.78	13	3.88511951302227E-4
2.8	9	2.68969812440003E-4
2.82	-5	-1.49427673577779E-4
2.84	-2	-5.97710694311118E-5
2.86	-17	-5.0805409016445E-4
2.88	-7	-2.09198743008891E-4
2.9	9	2.68969812440003E-4
2.92	3	8.96566041466677E-5
2.94	3	8.96566041466677E-5
2.96	11	3.28740881871115E-4
2.98	5	1.49427673577779E-4
3	0	0
3.02	-4	-1.19542138862224E-4
3.04	-6	-1.79313208293335E-4
3.06	-6	-1.79313208293335E-4
3.08	-4	-1.19542138862224E-4
3.1	-10	-2.98855347155559E-4
3.12	-7	-2.09198743008891E-4
3.14	-6	-1.79313208293335E-4
3.16	-11	-3.28740881871115E-4
3.18	4	1.19542138862224E-4
3.2	-13	-3.88511951302227E-4
3.22	6	1.79313208293335E-4
3.24	3	8.96566041466677E-5
3.26	-8	-2.39084277724447E-4
3.28	-3	-8.96566041466677E-5
3.3	-2	-5.97710694311118E-5
3.32	2	5.97710694311118E-5
3.34	13	3.88511951302227E-4
3.36	8	2.39084277724447E-4
3.38	-4	-1.19542138862224E-4
3.4	13	3.88511951302227E-4
3.42	-2	-5.97710694311118E-5
3.44	-6	-1.79313208293335E-4
3.46	-7	-2.09198743008891E-4
3.48	-9	-2.68969812440003E-4
3.5	8	2.39084277724447E-4
3.52	6	1.79313208293335E-4
3.54	0	0
3.56	-7	-2.09198743008891E-4
3.58	-7	-2.09198743008891E-4
3.6	12	3.58626416586671E-4
3.62	2	5.97710694311118E-5
3.64	-4	-1.19542138862224E-4
3.66	-5	-1.49427673577779E-4
3.68	2	5.97710694311118E-5
3.7	-6	-1.79313208293335E-4
3.72	14	4.18397486017782E-4
3.74	-6	-1.79313208293335E-4
3.76	3	8.96566041466677E-5
3.78	-10	-2.98855347155559E-4
3.8	-4	-1.19542138862224E-4
3.82	-13	-3.88511951302227E-4
3.84	-16	-4.78168555448894E-4
3.86	4	1.19542138862224E-4
3.88	7	2.09198743008891E-4
3.9	-2	-5.97710694311118E-5
3.92	1	2.98855347155559E-5
3.94	7	2.09198743008891E-4
3.96	9	2.68969812440003E-4
3.98	1	2.98855347155559E-5
4	17	5.0805409016445E-4
4.02	9	2.68969812440003E-4
4.04	7	2.09198743008891E-4
4.06	9	2.68969812440003E-4
4.08	-2	-5.97710694311118E-5
4.1	3	8.96566041466677E-5
4.12	20	5.97710694311118E-4
4.14	9	2.68969812440003E-4
4.16	4	1.19542138862224E-4
4.18	10	2.98855347155559E-4
4.2	-10	-2.98855347155559E-4
4.22	23	6.87367298457786E-4
4.24	0	0
4.26	3	8.96566041466677E-5
4.28	17	5.0805409016445E-4
4.3	7	2.09198743008891E-4
4.32	-11	-3.28740881871115E-4
4.34	-24	-7.17252833173341E-4
4.36	-13	-3.88511951302227E-4
4.38	23	6.87367298457786E-4
4.4	2	5.97710694311118E-5
4.42	18	5.37939624880006E-4
4.44	23	6.87367298457786E-4
4.46	2	5.97710694311118E-5
4.48	17	5.0805409016445E-4
4.5	1	2.98855347155559E-5
4.52	12	3.58626416586671E-4
4.54	12	3.58626416586671E-4
4.56	2	5.97710694311118E-5
4.58	8	2.39084277724447E-4
4.6	14	4.18397486017782E-4
4.62	13	3.88511951302227E-4
4.64	22	6.5748176374223E-4
4.66	15	4.48283020733338E-4
4.68	7	2.09198743008891E-4
4.7	4	1.19542138862224E-4
4.72	-5	-1.49427673577779E-4
4.74	-15	-4.48283020733338E-4
4.76	5	1.49427673577779E-4
4.78	0	0
4.8	-6	-1.79313208293335E-4
4.82	1	2.98855347155559E-5
4.84	-1	-2.98855347155559E-5
4.86	7	2.09198743008891E-4
4.88	9	2.68969812440003E-4
4.9	1	2.98855347155559E-5
4.92	-14	-4.18397486017782E-4
4.94	-13	-3.88511951302227E-4
4.96	5	1.49427673577779E-4
4.98	-3	-8.96566041466677E-5
5	12	3.58626416586671E-4
5.02	21	6.27596229026674E-4
5.04	19	5.67825159595562E-4
5.06	0	0
5.08	2	5.97710694311118E-5
5.1	21	6.27596229026674E-4
5.12	7	2.09198743008891E-4
5.14	-6	-1.79313208293335E-4
5.16	-10	-2.98855347155559E-4
5.18	5	1.49427673577779E-4
5.2	-5	-1.49427673577779E-4
5.22	-7	-2.09198743008891E-4
5.24	-24	-7.17252833173341E-4
5.26	-15	-4.48283020733338E-4
5.28	-8	-2.39084277724447E-4
5.3	3	8.96566041466677E-5
5.32	31	9.26451576182233E-4
5.34	20	5.97710694311118E-4
5.36	35	0.00104599371504446
5.38	13	3.88511951302227E-4
5.4	-3	-8.96566041466677E-5
5.42	-5	-1.49427673577779E-4
5.44	10	2.98855347155559E-4
5.46	12	3.58626416586671E-4
5.48	7	2.09198743008891E-4
5.5	-7	-2.09198743008891E-4
5.52	-8	-2.39084277724447E-4
5.54	-10	-2.98855347155559E-4
5.56	4	1.19542138862224E-4
5.58	2	5.97710694311118E-5
5.6	10	2.98855347155559E-4
5.62	0	0
5.64	-2	-5.97710694311118E-5
5.66	-8	-2.39084277724447E-4
5.68	3	8.96566041466677E-5
5.7	5	1.49427673577779E-4
5.72	25	7.47138367888897E-4
5.74	10	2.98855347155559E-4
5.76	14	4.18397486017782E-4
5.78	23	6.87367298457786E-4
5.8	-3	-8.96566041466677E-5
5.82	14	4.18397486017782E-4
5.84	18	5.37939624880006E-4
5.86	10	2.98855347155559E-4
5.88	-14	-4.18397486017782E-4
5.9	-16	-4.78168555448894E-4
5.92	-8	-2.39084277724447E-4
5.94	-10	-2.98855347155559E-4
5.96	-10	-2.98855347155559E-4
5.98	3	8.96566041466677E-5
6	4	1.19542138862224E-4
6.02	11	3.28740881871115E-4
6.04	5	1.49427673577779E-4
6.06	0	0
6.08	3	8.96566041466677E-5
6.1	-10	-2.98855347155559E-4
6.12	-19	-5.67825159595562E-4
6.14	13	3.88511951302227E-4
6.16	7	2.09198743008891E-4
6.18	17	5.0805409016445E-4
6.2	14	4.18397486017782E-4
6.22	-8	-2.39084277724447E-4
6.24	-14	-4.18397486017782E-4
6.26	0	0
6.28	1	2.98855347155559E-5
6.3	15	4.48283020733338E-4
6.32	-2	-5.97710694311118E-5
6.34	15	4.48283020733338E-4
6.36	14	4.18397486017782E-4
6.38	20	5.97710694311118E-4
6.4	-13	-3.88511951302227E-4
6.42	5	1.49427673577779E-4
6.44	25	7.47138367888897E-4
6.46	-10	-2.98855347155559E-4
6.48	-6	-1.79313208293335E-4
6.5	-16	-4.78168555448894E-4
6.52	-2	-5.97710694311118E-5
6.54	-8	-2.39084277724447E-4
6.56	19	5.67825159595562E-4
6.58	32	9.56337110897789E-4
6.6	10	2.98855347155559E-4
6.62	-15	-4.48283020733338E-4
6.64	-19	-5.67825159595562E-4
6.66	9	2.68969812440003E-4
6.68	3	8.96566041466677E-5
6.7	1	2.98855347155559E-5
6.72	17	5.0805409016445E-4
6.74	1	2.98855347155559E-5
6.76	3	8.96566041466677E-5
6.78	19	5.67825159595562E-4
6.8	6	1.79313208293335E-4
6.82	-3	-8.96566041466677E-5
6.84	-4	-1.19542138862224E-4
6.86	-2	-5.97710694311118E-5
6.88	-3	-8.96566041466677E-5
6.9	8	2.39084277724447E-4
6.92	-3	-8.96566041466677E-5
6.94	26	7.77023902604453E-4
6.96	14	4.18397486017782E-4
6.98	10	2.98855347155559E-4
7	20	5.97710694311118E-4
7.02	28	8.36794972035565E-4
7.04	5	1.49427673577779E-4
7.06	7	2.09198743008891E-4
7.08	17	5.0805409016445E-4
7.1	-11	-3.28740881871115E-4
7.12	7	2.09198743008891E-4
7.14	-8	-2.39084277724447E-4
7.16	-8	-2.39084277724447E-4
7.18	-6	-1.79313208293335E-4
7.2	0	0
7.22	4	1.19542138862224E-4
7.24	18	5.37939624880006E-4
7.26	21	6.27596229026674E-4
7.28	28	8.36794972035565E-4
7.3	-7	-2.09198743008891E-4
7.32	-18	-5.37939624880006E-4
7.34	-20	-5.97710694311118E-4
7.36	-9	-2.68969812440003E-4
7.38	1	2.98855347155559E-5
7.4	7	2.09198743008891E-4
7.42	-9	-2.68969812440003E-4
7.44	-15	-4.48283020733338E-4
7.46	11	3.28740881871115E-4
7.48	34	0.0010161081803289
7.5	24	7.17252833173341E-4
7.52	-15	-4.48283020733338E-4
7.54	-11	-3.28740881871115E-4
7.56	-20	-5.97710694311118E-4
7.58	1	2.98855347155559E-5
7.6	7	2.09198743008891E-4
7.62	2	5.97710694311118E-5
7.64	-29	-8.66680506751121E-4
7.66	-12	-3.58626416586671E-4
7.68	-8	-2.39084277724447E-4
7.7	-13	-3.88511951302227E-4
7.72	-7	-2.09198743008891E-4
7.74	-4	-1.19542138862224E-4
7.76	0	0
7.78	4	1.19542138862224E-4
7.8	-6	-1.79313208293335E-4
7.82	-17	-5.0805409016445E-4
7.84	6	1.79313208293335E-4
7.86	1	2.98855347155559E-5
7.88	16	4.78168555448894E-4
7.9	24	7.17252833173341E-4
7.92	-11	-3.28740881871115E-4
7.94	-12	-3.58626416586671E-4
7.96	2	5.97710694311118E-5
7.98	9	2.68969812440003E-4
8	8	2.39084277724447E-4
8.02	21	6.27596229026674E-4
8.04	28	8.36794972035565E-4
8.06	-8	-2.39084277724447E-4
8.08	-15	-4.48283020733338E-4
8.1	-4	-1.19542138862224E-4
8.12	1	2.98855347155559E-5
8.14	-8	-2.39084277724447E-4
8.16	-14	-4.18397486017782E-4
8.18	-20	-5.97710694311118E-4
8.2	-3	-8.96566041466677E-5
8.22	10	2.98855347155559E-4
8.24	17	5.0805409016445E-4
8.26	18	5.37939624880006E-4
8.28	19	5.67825159595562E-4
8.3	0	0
8.32	14	4.18397486017782E-4
8.34	20	5.97710694311118E-4
8.36	24	7.17252833173341E-4
8.38	25	7.47138367888897E-4
8.4	41	0.00122530692333779
8.42	30	8.96566041466677E-4
8.44	22	6.5748176374223E-4
8.46	-5	-1.49427673577779E-4
8.48	0	0
8.5	-7	-2.09198743008891E-4
8.52	29	8.66680506751121E-4
8.54	30	8.96566041466677E-4
8.56	39	0.00116553585390668
8.58	33	9.86222645613344E-4
8.6	24	7.17252833173341E-4
8.62	45	0.00134484906220002
8.64	40	0.00119542138862224
8.66	34	0.0010161081803289
8.68	38	0.00113565031919112
8.7	62	0.00185290315236447
8.72	69	0.00206210189537336
8.74	40	0.00119542138862224
8.76	45	0.00134484906220002
8.78	43	0.0012850779927689
8.8	53	0.00158393333992446
8.82	68	0.0020322163606578
8.84	53	0.00158393333992446
8.86	40	0.00119542138862224
8.88	53	0.00158393333992446
8.9	82	0.00245061384667558
8.92	75	0.00224141510366669
8.94	67	0.00200233082594224
8.96	90	0.00268969812440003
8.98	92	0.00274946919383114
9	54	0.00161381887464002
9.02	54	0.00161381887464002
9.04	106	0.00316786667984892
9.06	80	0.00239084277724447
9.08	100	0.00298855347155559
9.1	112	0.00334717988814226
9.12	139	0.00415408932546227
9.14	134	0.00400466165188449
9.16	102	0.0030483245409867
9.18	105	0.00313798114513337
9.2	115	0.00343683649228893
9.22	151	0.00451271574204894
9.24	156	0.00466214341562672
9.26	133	0.00397477611716893
9.28	151	0.00451271574204894
9.3	140	0.00418397486017782
9.32	104	0.00310809561041781
9.34	139	0.00415408932546227
9.36	170	0.0050805409016445
9.38	157	0.00469202895034228
9.4	168	0.00502076983221339
9.42	132	0.00394489058245338
9.44	140	0.00418397486017782
9.46	139	0.00415408932546227
9.48	129	0.00385523397830671
9.5	129	0.00385523397830671
9.52	137	0.00409431825603116
9.54	170	0.0050805409016445
9.56	152	0.0045426012767645
9.58	134	0.00400466165188449
9.6	145	0.0043334025337556
9.62	153	0.00457248681148005
9.64	119	0.00355637863115115
9.66	113	0.00337706542285782
9.68	106	0.00316786667984892
9.7	113	0.00337706542285782
9.72	132	0.00394489058245338
9.74	124	0.00370580630472893
9.76	126	0.00376557737416004
9.78	121	0.00361614970058226
9.8	128	0.00382534844359115
9.82	142	0.00424374592960894
9.84	126	0.00376557737416004
9.86	123	0.00367592077001338
9.88	107	0.00319775221456448
9.9	121	0.00361614970058226
9.92	120	0.00358626416586671
9.94	146	0.00436328806847116
9.96	125	0.00373569183944449
9.98	101	0.00301843900627115
10	93	0.0027793547285467
10.02	114	0.00340695095757337
10.04	99	0.00295866793684003
10.06	111	0.0033172943534267
10.08	106	0.00316786667984892
10.1	103	0.00307821007570226
10.12	112	0.00334717988814226
10.14	99	0.00295866793684003
10.16	117	0.00349660756172004
10.18	107	0.00319775221456448
10.2	110	0.00328740881871115
10.22	100	0.00298855347155559
10.24	94	0.00280924026326225
10.26	98	0.00292878240212448
10.28	62	0.00185290315236447
10.3	70	0.00209198743008891
10.32	108	0.00322763774928004
10.34	105	0.00313798114513337
10.36	100	0.00298855347155559
10.38	100	0.00298855347155559
10.4	77	0.0023011861730978
10.42	62	0.00185290315236447
10.44	79	0.00236095724252892
10.46	63	0.00188278868708002
10.48	68	0.0020322163606578
10.5	76	0.00227130063838225
10.52	63	0.00188278868708002
10.54	72	0.00215175849952002
10.56	63	0.00188278868708002
10.58	69	0.00206210189537336
10.6	65	0.00194255975651113
10.62	57	0.00170347547878669
10.64	60	0.00179313208293335
10.66	45	0.00134484906220002
10.68	70	0.00209198743008891
10.7	56	0.00167358994407113
10.72	60	0.00179313208293335
10.74	50	0.00149427673577779
10.76	52	0.00155404780520891
10.78	48	0.00143450566634668
10.8	58	0.00173336101350224
10.82	48	0.00143450566634668
10.84	66	0.00197244529122669
10.86	55	0.00164370440935557
10.88	45	0.00134484906220002
10.9	47	0.00140462013163113
10.92	23	6.87367298457786E-4
10.94	31	9.26451576182233E-4
10.96	48	0.00143450566634668
10.98	30	8.96566041466677E-4
11	15	4.48283020733338E-4
11.02	39	0.00116553585390668
11.04	34	0.0010161081803289
11.06	31	9.26451576182233E-4
11.08	39	0.00116553585390668
11.1	23	6.87367298457786E-4
11.12	27	8.06909437320009E-4
11.14	35	0.00104599371504446
11.16	26	7.77023902604453E-4
11.18	31	9.26451576182233E-4
11.2	49	0.00146439120106224
11.22	38	0.00113565031919112
11.24	17	5.0805409016445E-4
11.26	17	5.0805409016445E-4
11.28	10	2.98855347155559E-4
11.3	26	7.77023902604453E-4
11.32	32	9.56337110897789E-4
11.34	23	6.87367298457786E-4
11.36	35	0.00104599371504446
11.38	44	0.00131496352748446
11.4	32	9.56337110897789E-4
11.42	28	8.36794972035565E-4
11.44	26	7.77023902604453E-4
11.46	26	7.77023902604453E-4
11.48	17	5.0805409016445E-4
11.5	29	8.66680506751121E-4
11.52	30	8.96566041466677E-4
11.54	13	3.88511951302227E-4
11.56	19	5.67825159595562E-4
11.58	3	8.96566041466677E-5
11.6	26	7.77023902604453E-4
11.62	27	8.06909437320009E-4
11.64	14	4.18397486017782E-4
11.66	13	3.88511951302227E-4
11.68	30	8.96566041466677E-4
11.7	18	5.37939624880006E-4
11.72	12	3.58626416586671E-4
11.74	23	6.87367298457786E-4
11.76	15	4.48283020733338E-4
11.78	18	5.37939624880006E-4
11.8	15	4.48283020733338E-4
11.82	35	0.00104599371504446
11.84	29	8.66680506751121E-4
11.86	5	1.49427673577779E-4
11.88	14	4.18397486017782E-4
11.9	19	5.67825159595562E-4
11.92	12	3.58626416586671E-4
11.94	5	1.49427673577779E-4
11.96	21	6.27596229026674E-4
11.98	18	5.37939624880006E-4
12	8	2.39084277724447E-4
12.02	-2	-5.97710694311118E-5
12.04	-8	-2.39084277724447E-4
12.06	-3	-8.96566041466677E-5
12.08	-3	-8.96566041466677E-5
12.1	-1	-2.98855347155559E-5
12.12	5	1.49427673577779E-4
12.14	16	4.78168555448894E-4
12.16	5	1.49427673577779E-4
12.18	11	3.28740881871115E-4
12.2	34	0.0010161081803289
12.22	35	0.00104599371504446
12.24	5	1.49427673577779E-4
12.26	-14	-4.18397486017782E-4
12.28	21	6.27596229026674E-4
12.3	26	7.77023902604453E-4
12.32	14	4.18397486017782E-4
12.34	-19	-5.67825159595562E-4
12.36	4	1.19542138862224E-4
12.38	15	4.48283020733338E-4
12.4	-5	-1.49427673577779E-4
12.42	-5	-1.49427673577779E-4
12.44	-4	-1.19542138862224E-4
12.46	8	2.39084277724447E-4
12.48	-2	-5.97710694311118E-5
12.5	-13	-3.88511951302227E-4
12.52	5	1.49427673577779E-4
12.54	21	6.27596229026674E-4
12.56	-11	-3.28740881871115E-4
12.58	7	2.09198743008891E-4
12.6	10	2.98855347155559E-4
12.62	8	2.39084277724447E-4
12.64	5	1.49427673577779E-4
12.66	6	1.79313208293335E-4
12.68	9	2.68969812440003E-4
12.7	2	5.97710694311118E-5
12.72	34	0.0010161081803289
12.74	17	5.0805409016445E-4
12.76	10	2.98855347155559E-4
12.78	5	1.49427673577779E-4
12.8	6	1.79313208293335E-4
12.82	-9	-2.68969812440003E-4
12.84	-11	-3.28740881871115E-4
12.86	-9	-2.68969812440003E-4
12.88	4	1.19542138862224E-4
12.9	3	8.96566041466677E-5
12.92	5	1.49427673577779E-4
12.94	22	6.5748176374223E-4
12.96	11	3.28740881871115E-4
12.98	20	5.97710694311118E-4
13	31	9.26451576182233E-4
13.02	-2	-5.97710694311118E-5
13.04	-18	-5.37939624880006E-4
