Time [µs]	D2, v1J2, 07.12.	D2, v1J2, 07.12.
	25k shots	25k shots
Laser Power [mJ]		power corrected
0	--	--
0.02	--	--
0.04	--	--
0.06	--	--
0.08	--	--
0.1	--	--
0.12	--	--
0.14	--	--
0.16	--	--
0.18	--	--
0.2	--	--
0.22	--	--
0.24	--	--
0.26	--	--
0.28	--	--
0.3	--	--
0.32	--	--
0.34	--	--
0.36	--	--
0.38	--	--
0.4	--	--
0.42	--	--
0.44	--	--
0.46	--	--
0.48	--	--
0.5	--	--
0.52	--	--
0.54	--	--
0.56	--	--
0.58	--	--
0.6	--	--
0.62	--	--
0.64	--	--
0.66	--	--
0.68	--	--
0.7	--	--
0.72	--	--
0.74	--	--
0.76	--	--
0.78	--	--
0.8	--	--
0.82	--	--
0.84	--	--
0.86	--	--
0.88	--	--
0.9	--	--
0.92	--	--
0.94	--	--
0.96	--	--
0.98	--	--
1	--	--
1.02	--	--
1.04	--	--
1.06	--	--
1.08	--	--
1.1	--	--
1.12	--	--
1.14	--	--
1.16	--	--
1.18	--	--
1.2	--	--
1.22	--	--
1.24	--	--
1.26	--	--
1.28	--	--
1.3	--	--
1.32	--	--
1.34	--	--
1.36	--	--
1.38	--	--
1.4	--	--
1.42	--	--
1.44	--	--
1.46	--	--
1.48	--	--
1.5	--	--
1.52	--	--
1.54	--	--
1.56	--	--
1.58	--	--
1.6	--	--
1.62	3	1.08015704515725E-4
1.64	-31	-0.00111616227999583
1.66	-4	-1.44020939354301E-4
1.68	13	4.68068052901477E-4
1.7	7	2.52036643870026E-4
1.72	4	1.44020939354301E-4
1.74	13	4.68068052901477E-4
1.76	16	5.76083757417203E-4
1.78	0	0
1.8	10	3.60052348385752E-4
1.82	-15	-5.40078522578627E-4
1.84	-16	-5.76083757417203E-4
1.86	6	2.16031409031451E-4
1.88	5	1.80026174192876E-4
1.9	6	2.16031409031451E-4
1.92	-1	-3.60052348385752E-5
1.94	-6	-2.16031409031451E-4
1.96	-14	-5.04073287740052E-4
1.98	-4	-1.44020939354301E-4
2	2	7.20104696771503E-5
2.02	8	2.88041878708601E-4
2.04	16	5.76083757417203E-4
2.06	29	0.00104415181031868
2.08	11	3.96057583224327E-4
2.1	-6	-2.16031409031451E-4
2.12	15	5.40078522578627E-4
2.14	11	3.96057583224327E-4
2.16	8	2.88041878708601E-4
2.18	-1	-3.60052348385752E-5
2.2	4	1.44020939354301E-4
2.22	2	7.20104696771503E-5
2.24	-10	-3.60052348385752E-4
2.26	22	7.92115166448654E-4
2.28	-3	-1.08015704515725E-4
2.3	-17	-6.12088992255778E-4
2.32	0	0
2.34	-28	-0.0010081465754801
2.36	-2	-7.20104696771503E-5
2.38	5	1.80026174192876E-4
2.4	-15	-5.40078522578627E-4
2.42	8	2.88041878708601E-4
2.44	4	1.44020939354301E-4
2.46	-2	-7.20104696771503E-5
2.48	4	1.44020939354301E-4
2.5	13	4.68068052901477E-4
2.52	3	1.08015704515725E-4
2.54	1	3.60052348385752E-5
2.56	4	1.44020939354301E-4
2.58	10	3.60052348385752E-4
2.6	2	7.20104696771503E-5
2.62	4	1.44020939354301E-4
2.64	-4	-1.44020939354301E-4
2.66	-8	-2.88041878708601E-4
2.68	8	2.88041878708601E-4
2.7	7	2.52036643870026E-4
2.72	7	2.52036643870026E-4
2.74	-11	-3.96057583224327E-4
2.76	7	2.52036643870026E-4
2.78	3	1.08015704515725E-4
2.8	9	3.24047113547176E-4
2.82	9	3.24047113547176E-4
2.84	-5	-1.80026174192876E-4
2.86	-15	-5.40078522578627E-4
2.88	-6	-2.16031409031451E-4
2.9	4	1.44020939354301E-4
2.92	9	3.24047113547176E-4
2.94	7	2.52036643870026E-4
2.96	-8	-2.88041878708601E-4
2.98	3	1.08015704515725E-4
3	5	1.80026174192876E-4
3.02	9	3.24047113547176E-4
3.04	-2	-7.20104696771503E-5
3.06	9	3.24047113547176E-4
3.08	10	3.60052348385752E-4
3.1	4	1.44020939354301E-4
3.12	5	1.80026174192876E-4
3.14	6	2.16031409031451E-4
3.16	8	2.88041878708601E-4
3.18	5	1.80026174192876E-4
3.2	-11	-3.96057583224327E-4
3.22	-2	-7.20104696771503E-5
3.24	-5	-1.80026174192876E-4
3.26	-6	-2.16031409031451E-4
3.28	0	0
3.3	-4	-1.44020939354301E-4
3.32	-1	-3.60052348385752E-5
3.34	-8	-2.88041878708601E-4
3.36	-7	-2.52036643870026E-4
3.38	3	1.08015704515725E-4
3.4	7	2.52036643870026E-4
3.42	8	2.88041878708601E-4
3.44	6	2.16031409031451E-4
3.46	-5	-1.80026174192876E-4
3.48	-2	-7.20104696771503E-5
3.5	-4	-1.44020939354301E-4
3.52	26	9.36136105802954E-4
3.54	5	1.80026174192876E-4
3.56	7	2.52036643870026E-4
3.58	13	4.68068052901477E-4
3.6	4	1.44020939354301E-4
3.62	0	0
3.64	-2	-7.20104696771503E-5
3.66	-6	-2.16031409031451E-4
3.68	-4	-1.44020939354301E-4
3.7	4	1.44020939354301E-4
3.72	5	1.80026174192876E-4
3.74	-4	-1.44020939354301E-4
3.76	-4	-1.44020939354301E-4
3.78	-6	-2.16031409031451E-4
3.8	6	2.16031409031451E-4
3.82	-4	-1.44020939354301E-4
3.84	-6	-2.16031409031451E-4
3.86	1	3.60052348385752E-5
3.88	5	1.80026174192876E-4
3.9	9	3.24047113547176E-4
3.92	2	7.20104696771503E-5
3.94	-17	-6.12088992255778E-4
3.96	-9	-3.24047113547176E-4
3.98	-7	-2.52036643870026E-4
4	-1	-3.60052348385752E-5
4.02	16	5.76083757417203E-4
4.04	5	1.80026174192876E-4
4.06	-6	-2.16031409031451E-4
4.08	2	7.20104696771503E-5
4.1	3	1.08015704515725E-4
4.12	-16	-5.76083757417203E-4
4.14	-9	-3.24047113547176E-4
4.16	3	1.08015704515725E-4
4.18	-4	-1.44020939354301E-4
4.2	-5	-1.80026174192876E-4
4.22	-9	-3.24047113547176E-4
4.24	13	4.68068052901477E-4
4.26	3	1.08015704515725E-4
4.28	1	3.60052348385752E-5
4.3	8	2.88041878708601E-4
4.32	-4	-1.44020939354301E-4
4.34	-2	-7.20104696771503E-5
4.36	3	1.08015704515725E-4
4.38	7	2.52036643870026E-4
4.4	-6	-2.16031409031451E-4
4.42	2	7.20104696771503E-5
4.44	5	1.80026174192876E-4
4.46	15	5.40078522578627E-4
4.48	14	5.04073287740052E-4
4.5	5	1.80026174192876E-4
4.52	1	3.60052348385752E-5
4.54	9	3.24047113547176E-4
4.56	13	4.68068052901477E-4
4.58	11	3.96057583224327E-4
4.6	-8	-2.88041878708601E-4
4.62	-7	-2.52036643870026E-4
4.64	15	5.40078522578627E-4
4.66	2	7.20104696771503E-5
4.68	4	1.44020939354301E-4
4.7	-6	-2.16031409031451E-4
4.72	18	6.48094227094353E-4
4.74	7	2.52036643870026E-4
4.76	-7	-2.52036643870026E-4
4.78	-1	-3.60052348385752E-5
4.8	-8	-2.88041878708601E-4
4.82	-10	-3.60052348385752E-4
4.84	11	3.96057583224327E-4
4.86	3	1.08015704515725E-4
4.88	-3	-1.08015704515725E-4
4.9	-4	-1.44020939354301E-4
4.92	1	3.60052348385752E-5
4.94	-5	-1.80026174192876E-4
4.96	-3	-1.08015704515725E-4
4.98	-8	-2.88041878708601E-4
5	-14	-5.04073287740052E-4
5.02	-7	-2.52036643870026E-4
5.04	-5	-1.80026174192876E-4
5.06	6	2.16031409031451E-4
5.08	-8	-2.88041878708601E-4
5.1	11	3.96057583224327E-4
5.12	-1	-3.60052348385752E-5
5.14	-18	-6.48094227094353E-4
5.16	-11	-3.96057583224327E-4
5.18	9	3.24047113547176E-4
5.2	14	5.04073287740052E-4
5.22	2	7.20104696771503E-5
5.24	9	3.24047113547176E-4
5.26	12	4.32062818062902E-4
5.28	18	6.48094227094353E-4
5.3	18	6.48094227094353E-4
5.32	10	3.60052348385752E-4
5.34	-7	-2.52036643870026E-4
5.36	-17	-6.12088992255778E-4
5.38	-4	-1.44020939354301E-4
5.4	2	7.20104696771503E-5
5.42	-14	-5.04073287740052E-4
5.44	-5	-1.80026174192876E-4
5.46	9	3.24047113547176E-4
5.48	0	0
5.5	1	3.60052348385752E-5
5.52	-6	-2.16031409031451E-4
5.54	-12	-4.32062818062902E-4
5.56	-11	-3.96057583224327E-4
5.58	-17	-6.12088992255778E-4
5.6	-10	-3.60052348385752E-4
5.62	-5	-1.80026174192876E-4
5.64	-17	-6.12088992255778E-4
5.66	-4	-1.44020939354301E-4
5.68	-1	-3.60052348385752E-5
5.7	-2	-7.20104696771503E-5
5.72	-5	-1.80026174192876E-4
5.74	4	1.44020939354301E-4
5.76	1	3.60052348385752E-5
5.78	-7	-2.52036643870026E-4
5.8	6	2.16031409031451E-4
5.82	14	5.04073287740052E-4
5.84	10	3.60052348385752E-4
5.86	-2	-7.20104696771503E-5
5.88	-15	-5.40078522578627E-4
5.9	-5	-1.80026174192876E-4
5.92	5	1.80026174192876E-4
5.94	5	1.80026174192876E-4
5.96	4	1.44020939354301E-4
5.98	1	3.60052348385752E-5
6	9	3.24047113547176E-4
6.02	4	1.44020939354301E-4
6.04	19	6.84099461932928E-4
6.06	23	8.28120401287229E-4
6.08	1	3.60052348385752E-5
6.1	-2	-7.20104696771503E-5
6.12	-1	-3.60052348385752E-5
6.14	5	1.80026174192876E-4
6.16	-5	-1.80026174192876E-4
6.18	-12	-4.32062818062902E-4
6.2	13	4.68068052901477E-4
6.22	22	7.92115166448654E-4
6.24	24	8.64125636125804E-4
6.26	21	7.56109931610078E-4
6.28	5	1.80026174192876E-4
6.3	21	7.56109931610078E-4
6.32	23	8.28120401287229E-4
6.34	24	8.64125636125804E-4
6.36	12	4.32062818062902E-4
6.38	5	1.80026174192876E-4
6.4	9	3.24047113547176E-4
6.42	18	6.48094227094353E-4
6.44	10	3.60052348385752E-4
6.46	8	2.88041878708601E-4
6.48	6	2.16031409031451E-4
6.5	5	1.80026174192876E-4
6.52	0	0
6.54	-2	-7.20104696771503E-5
6.56	-3	-1.08015704515725E-4
6.58	18	6.48094227094353E-4
6.6	-1	-3.60052348385752E-5
6.62	-11	-3.96057583224327E-4
6.64	1	3.60052348385752E-5
6.66	10	3.60052348385752E-4
6.68	4	1.44020939354301E-4
6.7	-7	-2.52036643870026E-4
6.72	1	3.60052348385752E-5
6.74	6	2.16031409031451E-4
6.76	28	0.0010081465754801
6.78	-9	-3.24047113547176E-4
6.8	-26	-9.36136105802954E-4
6.82	-25	-9.00130870964379E-4
6.84	-5	-1.80026174192876E-4
6.86	20	7.20104696771503E-4
6.88	21	7.56109931610078E-4
6.9	-4	-1.44020939354301E-4
6.92	3	1.08015704515725E-4
6.94	21	7.56109931610078E-4
6.96	12	4.32062818062902E-4
6.98	-3	-1.08015704515725E-4
7	-5	-1.80026174192876E-4
7.02	1	3.60052348385752E-5
7.04	-11	-3.96057583224327E-4
7.06	-6	-2.16031409031451E-4
7.08	5	1.80026174192876E-4
7.1	14	5.04073287740052E-4
7.12	35	0.00126018321935013
7.14	16	5.76083757417203E-4
7.16	24	8.64125636125804E-4
7.18	27	9.72141340641529E-4
7.2	24	8.64125636125804E-4
7.22	11	3.96057583224327E-4
7.24	-7	-2.52036643870026E-4
7.26	-9	-3.24047113547176E-4
7.28	-9	-3.24047113547176E-4
7.3	-13	-4.68068052901477E-4
7.32	3	1.08015704515725E-4
7.34	8	2.88041878708601E-4
7.36	7	2.52036643870026E-4
7.38	9	3.24047113547176E-4
7.4	-16	-5.76083757417203E-4
7.42	10	3.60052348385752E-4
7.44	21	7.56109931610078E-4
7.46	12	4.32062818062902E-4
7.48	22	7.92115166448654E-4
7.5	13	4.68068052901477E-4
7.52	14	5.04073287740052E-4
7.54	0	0
7.56	10	3.60052348385752E-4
7.58	25	9.00130870964379E-4
7.6	9	3.24047113547176E-4
7.62	-5	-1.80026174192876E-4
7.64	8	2.88041878708601E-4
7.66	37	0.00133219368902728
7.68	23	8.28120401287229E-4
7.7	13	4.68068052901477E-4
7.72	18	6.48094227094353E-4
7.74	13	4.68068052901477E-4
7.76	-6	-2.16031409031451E-4
7.78	-12	-4.32062818062902E-4
7.8	-1	-3.60052348385752E-5
7.82	-10	-3.60052348385752E-4
7.84	-17	-6.12088992255778E-4
7.86	0	0
7.88	7	2.52036643870026E-4
7.9	7	2.52036643870026E-4
7.92	7	2.52036643870026E-4
7.94	11	3.96057583224327E-4
7.96	4	1.44020939354301E-4
7.98	-9	-3.24047113547176E-4
8	-2	-7.20104696771503E-5
8.02	-11	-3.96057583224327E-4
8.04	23	8.28120401287229E-4
8.06	8	2.88041878708601E-4
8.08	8	2.88041878708601E-4
8.1	5	1.80026174192876E-4
8.12	16	5.76083757417203E-4
8.14	15	5.40078522578627E-4
8.16	-2	-7.20104696771503E-5
8.18	-13	-4.68068052901477E-4
8.2	24	8.64125636125804E-4
8.22	7	2.52036643870026E-4
8.24	18	6.48094227094353E-4
8.26	-7	-2.52036643870026E-4
8.28	3	1.08015704515725E-4
8.3	-10	-3.60052348385752E-4
8.32	2	7.20104696771503E-5
8.34	6	2.16031409031451E-4
8.36	-1	-3.60052348385752E-5
8.38	-4	-1.44020939354301E-4
8.4	2	7.20104696771503E-5
8.42	-3	-1.08015704515725E-4
8.44	16	5.76083757417203E-4
8.46	19	6.84099461932928E-4
8.48	28	0.0010081465754801
8.5	26	9.36136105802954E-4
8.52	25	9.00130870964379E-4
8.54	36	0.00129618845418871
8.56	24	8.64125636125804E-4
8.58	11	3.96057583224327E-4
