Disc Threshold [V]	D2, v1J2, 08.12. First	D2, v1J2, 08.12. First
Dwell time [s]	25k shots	25k shots
Number of channels Number of Scans  D2 v 1 J 2 29.2V 3.28A Au 788C Knnew  ?C Kn  e-2mbar (base 1.5e-2) x=35mm y=35.5mm z=512mm D2/RGA 9.0e-10 torr (base 1.6e-11) 500: 9.3e-9 mbar		power corrected
0	-546	-0.0198697656874744
0.02	-1686	-0.0613560896503331
0.04	-2	-7.27830244962433E-5
0.06	-19	-6.91438732714311E-4
0.08	-14	-5.09481171473703E-4
0.1	9	3.27523610233095E-4
0.12	4	1.45566048992487E-4
0.14	7	2.54740585736851E-4
0.16	12	4.3669814697746E-4
0.18	1	3.63915122481216E-5
0.2	10	3.63915122481216E-4
0.22	12	4.3669814697746E-4
0.24	-8	-2.91132097984973E-4
0.26	1	3.63915122481216E-5
0.28	2	7.27830244962433E-5
0.3	6	2.1834907348873E-4
0.32	-4	-1.45566048992487E-4
0.34	5	1.81957561240608E-4
0.36	-15	-5.45872683721824E-4
0.38	24	8.73396293954919E-4
0.4	16	5.82264195969946E-4
0.42	-22	-8.00613269458676E-4
0.44	-26	-9.46179318451162E-4
0.46	2	7.27830244962433E-5
0.48	-19	-6.91438732714311E-4
0.5	11	4.00306634729338E-4
0.52	5	1.81957561240608E-4
0.54	21	7.64221757210554E-4
0.56	-6	-2.1834907348873E-4
0.58	-10	-3.63915122481216E-4
0.6	26	9.46179318451162E-4
0.62	21	7.64221757210554E-4
0.64	33	0.00120091990418801
0.66	22	8.00613269458676E-4
0.68	13	4.73089659225581E-4
0.7	-17	-6.18655708218068E-4
0.72	1	3.63915122481216E-5
0.74	2	7.27830244962433E-5
0.76	-3	-1.09174536744365E-4
0.78	2	7.27830244962433E-5
0.8	-21	-7.64221757210554E-4
0.82	26	9.46179318451162E-4
0.84	37	0.0013464859531805
0.86	48	0.00174679258790984
0.88	17	6.18655708218068E-4
0.9	21	7.64221757210554E-4
0.92	35	0.00127370292868426
0.94	46	0.0016740095634136
0.96	36	0.00131009444093238
0.98	35	0.00127370292868426
1	37	0.0013464859531805
1.02	75	0.00272936341860912
1.04	49	0.00178318410015796
1.06	51	0.0018559671246542
1.08	57	0.00207431619814293
1.1	87	0.00316606156558658
1.12	48	0.00174679258790984
1.14	-8	-2.91132097984973E-4
1.16	27	9.82570830699284E-4
1.18	12	4.3669814697746E-4
1.2	-13	-4.73089659225581E-4
1.22	6	2.1834907348873E-4
1.24	16	5.82264195969946E-4
1.26	22	8.00613269458676E-4
