Time [µs]	v1J2, First, 10.12.	v1J2, First, 10.12.
	25k shots	25k shots
Laser Power [mJ]		power corrected
0	--	--
0.02	--	--
0.04	--	--
0.06	--	--
0.08	--	--
0.1	--	--
0.12	--	--
0.14	--	--
0.16	--	--
0.18	--	--
0.2	--	--
0.22	--	--
0.24	--	--
0.26	--	--
0.28	--	--
0.3	--	--
0.32	--	--
0.34	--	--
0.36	--	--
0.38	--	--
0.4	--	--
0.42	--	--
0.44	--	--
0.46	--	--
0.48	--	--
0.5	--	--
0.52	--	--
0.54	--	--
0.56	--	--
0.58	--	--
0.6	--	--
0.62	--	--
0.64	--	--
0.66	--	--
0.68	--	--
0.7	--	--
0.72	--	--
0.74	--	--
0.76	--	--
0.78	--	--
0.8	--	--
0.82	--	--
0.84	--	--
0.86	--	--
0.88	--	--
0.9	--	--
0.92	--	--
0.94	--	--
0.96	--	--
0.98	--	--
1	--	--
1.02	--	--
1.04	--	--
1.06	--	--
1.08	--	--
1.1	--	--
1.12	--	--
1.14	--	--
1.16	--	--
1.18	--	--
1.2	--	--
1.22	--	--
1.24	--	--
1.26	--	--
1.28	--	--
1.3	--	--
1.32	--	--
1.34	--	--
1.36	--	--
1.38	--	--
1.4	--	--
1.42	--	--
1.44	--	--
1.46	--	--
1.48	--	--
1.5	--	--
1.52	--	--
1.54	--	--
1.56	--	--
1.58	--	--
1.6	--	--
1.62	19	8.45543237470492E-4
1.64	20	8.90045513126833E-4
1.66	13	5.78529583532442E-4
1.68	18	8.0104096181415E-4
1.7	7	3.11515929594392E-4
1.72	-6	-2.6701365393805E-4
1.74	7	3.11515929594392E-4
1.76	11	4.89525032219758E-4
1.78	5	2.22511378281708E-4
1.8	-4	-1.78009102625367E-4
1.82	4	1.78009102625367E-4
1.84	17	7.56538686157808E-4
1.86	12	5.340273078761E-4
1.88	7	3.11515929594392E-4
1.9	7	3.11515929594392E-4
1.92	-1	-4.45022756563417E-5
1.94	10	4.45022756563417E-4
1.96	12	5.340273078761E-4
1.98	2	8.90045513126833E-5
2	2	8.90045513126833E-5
2.02	-9	-4.00520480907075E-4
2.04	10	4.45022756563417E-4
2.06	11	4.89525032219758E-4
2.08	11	4.89525032219758E-4
2.1	29	0.00129056599403391
2.12	15	6.67534134845125E-4
2.14	10	4.45022756563417E-4
2.16	-4	-1.78009102625367E-4
2.18	12	5.340273078761E-4
2.2	9	4.00520480907075E-4
2.22	19	8.45543237470492E-4
2.24	1	4.45022756563417E-5
2.26	2	8.90045513126833E-5
2.28	5	2.22511378281708E-4
2.3	-4	-1.78009102625367E-4
2.32	19	8.45543237470492E-4
2.34	23	0.00102355234009586
2.36	9	4.00520480907075E-4
2.38	1	4.45022756563417E-5
2.4	0	0
2.42	2	8.90045513126833E-5
2.44	1	4.45022756563417E-5
2.46	10	4.45022756563417E-4
2.48	6	2.6701365393805E-4
2.5	2	8.90045513126833E-5
2.52	6	2.6701365393805E-4
2.54	5	2.22511378281708E-4
2.56	13	5.78529583532442E-4
2.58	7	3.11515929594392E-4
2.6	8	3.56018205250733E-4
2.62	9	4.00520480907075E-4
2.64	12	5.340273078761E-4
2.66	18	8.0104096181415E-4
2.68	8	3.56018205250733E-4
2.7	16	7.12036410501467E-4
2.72	10	4.45022756563417E-4
2.74	6	2.6701365393805E-4
2.76	9	4.00520480907075E-4
2.78	4	1.78009102625367E-4
2.8	3	1.33506826969025E-4
2.82	-13	-5.78529583532442E-4
2.84	-7	-3.11515929594392E-4
2.86	-4	-1.78009102625367E-4
2.88	0	0
2.9	5	2.22511378281708E-4
2.92	12	5.340273078761E-4
2.94	8	3.56018205250733E-4
2.96	5	2.22511378281708E-4
2.98	10	4.45022756563417E-4
3	15	6.67534134845125E-4
3.02	13	5.78529583532442E-4
3.04	3	1.33506826969025E-4
3.06	2	8.90045513126833E-5
3.08	8	3.56018205250733E-4
3.1	6	2.6701365393805E-4
3.12	6	2.6701365393805E-4
3.14	1	4.45022756563417E-5
3.16	11	4.89525032219758E-4
3.18	10	4.45022756563417E-4
3.2	11	4.89525032219758E-4
3.22	18	8.0104096181415E-4
3.24	10	4.45022756563417E-4
3.26	15	6.67534134845125E-4
3.28	6	2.6701365393805E-4
3.3	6	2.6701365393805E-4
3.32	-5	-2.22511378281708E-4
3.34	4	1.78009102625367E-4
3.36	12	5.340273078761E-4
3.38	9	4.00520480907075E-4
3.4	6	2.6701365393805E-4
3.42	10	4.45022756563417E-4
3.44	11	4.89525032219758E-4
3.46	5	2.22511378281708E-4
3.48	9	4.00520480907075E-4
3.5	14	6.23031859188783E-4
3.52	10	4.45022756563417E-4
3.54	-2	-8.90045513126833E-5
3.56	7	3.11515929594392E-4
3.58	6	2.6701365393805E-4
3.6	1	4.45022756563417E-5
3.62	2	8.90045513126833E-5
3.64	7	3.11515929594392E-4
3.66	2	8.90045513126833E-5
3.68	3	1.33506826969025E-4
3.7	6	2.6701365393805E-4
3.72	11	4.89525032219758E-4
3.74	12	5.340273078761E-4
3.76	7	3.11515929594392E-4
3.78	7	3.11515929594392E-4
3.8	1	4.45022756563417E-5
3.82	5	2.22511378281708E-4
3.84	11	4.89525032219758E-4
3.86	9	4.00520480907075E-4
3.88	8	3.56018205250733E-4
3.9	7	3.11515929594392E-4
3.92	6	2.6701365393805E-4
3.94	7	3.11515929594392E-4
3.96	0	0
3.98	13	5.78529583532442E-4
4	13	5.78529583532442E-4
4.02	9	4.00520480907075E-4
4.04	1	4.45022756563417E-5
4.06	8	3.56018205250733E-4
4.08	13	5.78529583532442E-4
4.1	7	3.11515929594392E-4
4.12	5	2.22511378281708E-4
4.14	9	4.00520480907075E-4
4.16	6	2.6701365393805E-4
4.18	5	2.22511378281708E-4
4.2	0	0
4.22	13	5.78529583532442E-4
4.24	8	3.56018205250733E-4
4.26	9	4.00520480907075E-4
4.28	5	2.22511378281708E-4
4.3	4	1.78009102625367E-4
4.32	6	2.6701365393805E-4
4.34	9	4.00520480907075E-4
4.36	6	2.6701365393805E-4
4.38	-2	-8.90045513126833E-5
4.4	5	2.22511378281708E-4
4.42	-3	-1.33506826969025E-4
4.44	0	0
4.46	-2	-8.90045513126833E-5
4.48	-5	-2.22511378281708E-4
4.5	5	2.22511378281708E-4
4.52	3	1.33506826969025E-4
4.54	-1	-4.45022756563417E-5
4.56	5	2.22511378281708E-4
4.58	8	3.56018205250733E-4
4.6	2	8.90045513126833E-5
4.62	-5	-2.22511378281708E-4
4.64	18	8.0104096181415E-4
4.66	10	4.45022756563417E-4
4.68	17	7.56538686157808E-4
4.7	6	2.6701365393805E-4
4.72	4	1.78009102625367E-4
4.74	3	1.33506826969025E-4
4.76	8	3.56018205250733E-4
4.78	11	4.89525032219758E-4
4.8	11	4.89525032219758E-4
4.82	-1	-4.45022756563417E-5
4.84	2	8.90045513126833E-5
4.86	5	2.22511378281708E-4
4.88	9	4.00520480907075E-4
4.9	0	0
4.92	3	1.33506826969025E-4
4.94	7	3.11515929594392E-4
4.96	2	8.90045513126833E-5
4.98	-2	-8.90045513126833E-5
5	11	4.89525032219758E-4
5.02	7	3.11515929594392E-4
5.04	16	7.12036410501467E-4
5.06	8	3.56018205250733E-4
5.08	18	8.0104096181415E-4
5.1	1	4.45022756563417E-5
5.12	-5	-2.22511378281708E-4
5.14	0	0
5.16	0	0
5.18	13	5.78529583532442E-4
5.2	28	0.00124606371837757
5.22	-3	-1.33506826969025E-4
5.24	-5	-2.22511378281708E-4
5.26	2	8.90045513126833E-5
5.28	2	8.90045513126833E-5
5.3	2	8.90045513126833E-5
5.32	2	8.90045513126833E-5
5.34	-6	-2.6701365393805E-4
5.36	1	4.45022756563417E-5
5.38	9	4.00520480907075E-4
5.4	4	1.78009102625367E-4
5.42	-4	-1.78009102625367E-4
5.44	-2	-8.90045513126833E-5
5.46	21	9.34547788783175E-4
5.48	15	6.67534134845125E-4
5.5	9	4.00520480907075E-4
5.52	6	2.6701365393805E-4
5.54	26	0.00115705916706488
5.56	-1	-4.45022756563417E-5
5.58	-10	-4.45022756563417E-4
5.6	1	4.45022756563417E-5
5.62	3	1.33506826969025E-4
5.64	16	7.12036410501467E-4
5.66	11	4.89525032219758E-4
5.68	4	1.78009102625367E-4
5.7	4	1.78009102625367E-4
5.72	-3	-1.33506826969025E-4
5.74	-7	-3.11515929594392E-4
5.76	-13	-5.78529583532442E-4
5.78	23	0.00102355234009586
5.8	20	8.90045513126833E-4
5.82	3	1.33506826969025E-4
5.84	3	1.33506826969025E-4
5.86	3	1.33506826969025E-4
5.88	3	1.33506826969025E-4
5.9	-3	-1.33506826969025E-4
5.92	4	1.78009102625367E-4
5.94	10	4.45022756563417E-4
5.96	11	4.89525032219758E-4
5.98	8	3.56018205250733E-4
6	13	5.78529583532442E-4
6.02	20	8.90045513126833E-4
6.04	14	6.23031859188783E-4
6.06	24	0.0010680546157522
6.08	7	3.11515929594392E-4
6.1	-7	-3.11515929594392E-4
6.12	-6	-2.6701365393805E-4
6.14	0	0
6.16	0	0
6.18	11	4.89525032219758E-4
6.2	9	4.00520480907075E-4
6.22	-6	-2.6701365393805E-4
6.24	-11	-4.89525032219758E-4
6.26	-1	-4.45022756563417E-5
6.28	6	2.6701365393805E-4
6.3	22	9.79050064439517E-4
6.32	10	4.45022756563417E-4
6.34	3	1.33506826969025E-4
6.36	4	1.78009102625367E-4
6.38	25	0.00111255689140854
6.4	29	0.00129056599403391
6.42	20	8.90045513126833E-4
6.44	18	8.0104096181415E-4
6.46	11	4.89525032219758E-4
6.48	11	4.89525032219758E-4
6.5	15	6.67534134845125E-4
6.52	20	8.90045513126833E-4
6.54	4	1.78009102625367E-4
6.56	9	4.00520480907075E-4
6.58	-3	-1.33506826969025E-4
6.6	-4	-1.78009102625367E-4
6.62	12	5.340273078761E-4
6.64	13	5.78529583532442E-4
6.66	12	5.340273078761E-4
6.68	1	4.45022756563417E-5
6.7	1	4.45022756563417E-5
6.72	-2	-8.90045513126833E-5
6.74	5	2.22511378281708E-4
6.76	15	6.67534134845125E-4
6.78	15	6.67534134845125E-4
6.8	17	7.56538686157808E-4
6.82	12	5.340273078761E-4
6.84	-1	-4.45022756563417E-5
6.86	1	4.45022756563417E-5
6.88	7	3.11515929594392E-4
6.9	-8	-3.56018205250733E-4
6.92	-10	-4.45022756563417E-4
6.94	7	3.11515929594392E-4
6.96	7	3.11515929594392E-4
6.98	-10	-4.45022756563417E-4
7	13	5.78529583532442E-4
7.02	13	5.78529583532442E-4
7.04	15	6.67534134845125E-4
7.06	14	6.23031859188783E-4
7.08	9	4.00520480907075E-4
7.1	4	1.78009102625367E-4
7.12	4	1.78009102625367E-4
7.14	40	0.00178009102625367
7.16	23	0.00102355234009586
7.18	16	7.12036410501467E-4
7.2	-1	-4.45022756563417E-5
7.22	16	7.12036410501467E-4
7.24	16	7.12036410501467E-4
7.26	4	1.78009102625367E-4
7.28	7	3.11515929594392E-4
7.3	8	3.56018205250733E-4
7.32	-12	-5.340273078761E-4
7.34	16	7.12036410501467E-4
7.36	2	8.90045513126833E-5
7.38	6	2.6701365393805E-4
7.4	6	2.6701365393805E-4
7.42	6	2.6701365393805E-4
7.44	14	6.23031859188783E-4
7.46	9	4.00520480907075E-4
7.48	1	4.45022756563417E-5
7.5	5	2.22511378281708E-4
7.52	22	9.79050064439517E-4
7.54	20	8.90045513126833E-4
7.56	20	8.90045513126833E-4
7.58	3	1.33506826969025E-4
7.6	-6	-2.6701365393805E-4
7.62	-5	-2.22511378281708E-4
7.64	3	1.33506826969025E-4
7.66	6	2.6701365393805E-4
7.68	6	2.6701365393805E-4
7.7	18	8.0104096181415E-4
7.72	7	3.11515929594392E-4
7.74	5	2.22511378281708E-4
7.76	10	4.45022756563417E-4
7.78	15	6.67534134845125E-4
7.8	7	3.11515929594392E-4
7.82	17	7.56538686157808E-4
7.84	6	2.6701365393805E-4
7.86	10	4.45022756563417E-4
7.88	-11	-4.89525032219758E-4
7.9	6	2.6701365393805E-4
7.92	29	0.00129056599403391
7.94	42	0.00186909557756635
7.96	20	8.90045513126833E-4
7.98	-5	-2.22511378281708E-4
8	11	4.89525032219758E-4
8.02	21	9.34547788783175E-4
8.04	11	4.89525032219758E-4
8.06	9	4.00520480907075E-4
8.08	0	0
8.1	0	0
8.12	-7	-3.11515929594392E-4
8.14	-2	-8.90045513126833E-5
8.16	13	5.78529583532442E-4
8.18	26	0.00115705916706488
8.2	21	9.34547788783175E-4
8.22	10	4.45022756563417E-4
8.24	4	1.78009102625367E-4
8.26	2	8.90045513126833E-5
8.28	1	4.45022756563417E-5
8.3	-1	-4.45022756563417E-5
8.32	9	4.00520480907075E-4
8.34	8	3.56018205250733E-4
8.36	6	2.6701365393805E-4
8.38	15	6.67534134845125E-4
8.4	25	0.00111255689140854
8.42	15	6.67534134845125E-4
8.44	20	8.90045513126833E-4
8.46	18	8.0104096181415E-4
8.48	17	7.56538686157808E-4
8.5	20	8.90045513126833E-4
8.52	21	9.34547788783175E-4
8.54	17	7.56538686157808E-4
8.56	26	0.00115705916706488
8.58	26	0.00115705916706488
8.6	20	8.90045513126833E-4
8.62	40	0.00178009102625367
8.64	56	0.00249212743675513
8.66	38	0.00169108647494098
8.68	27	0.00120156144272123
8.7	33	0.00146857509665928
8.72	16	7.12036410501467E-4
8.74	15	6.67534134845125E-4
8.76	24	0.0010680546157522
8.78	42	0.00186909557756635
8.8	43	0.00191359785322269
8.82	55	0.00244762516109879
8.84	48	0.0021361092315044
8.86	25	0.00111255689140854
8.88	22	9.79050064439517E-4
